SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 
58.93,15.17,6.26,0.1,2.07,2.52,1.87,1.88,0.88,0.11
57.77,15.15,6.2,0.09,2.29,2.54,2.24,1.95,0.93,0.1
60.44,16.09,6.41,0.08,2.64,1.09,1.87,2.46,0.79,0.08
60.91,14.76,6.33,0.09,2.39,1.18,1.62,2.38,0.88,0.1
53.72,16.02,8.72,0.11,2.78,2.91,1.34,2.16,1.11,0.12
54.95,15.15,8.35,0.1,3.31,2.7,1.66,2.34,0.99,0.11
57.34,15.9,7.1,0.09,2.41,2.32,2.25,1.87,0.89,0.11
60.45,15.83,5.57,0.08,2.15,1.22,3.15,1.22,0.88,0.1
54,15.2,8.42,0.11,2.45,4,1.53,1.52,1.1,0.18
55.33,15.23,9.22,0.11,2.87,2.89,1.26,1.93,1.19,0.12
54.47,15.29,8.31,0.1,2.96,3.18,1.73,1.96,1.2,0.15
56.12,16.01,7.84,0.1,2.65,3.19,1.87,1.71,1.24,0.09
57.65,15.25,5.79,0.09,1.76,2.41,1.95,2.84,0.78,0.11
57.14,15.61,5.78,0.08,1.77,3.04,2.14,2.64,0.73,0.11
59.67,14.45,5.94,0.08,1.66,3.01,2.4,2.33,0.95,0.09
61.33,14.99,7.02,0.1,2.01,1.6,1.5,2.12,0.94,0.1
59.74,15.55,5.15,0.08,1.23,2.18,2.13,2.72,0.86,0.11
53.38,14.65,8.98,0.11,3.66,2.65,1.67,2.25,1.02,0.13
53.55,15.29,9.04,0.11,3.77,2.77,1.82,2.11,1.18,0.11
50.07,14.44,8.66,0.11,3.53,2.37,1.53,2.4,0.87,0.14
53.22,15.08,8.82,0.13,3.95,2.3,1.78,2.52,1.01,0.13
55.66,16.06,8.7,0.11,2.43,2.97,1.39,1.46,1.17,0.09
54.1,16,9.53,0.11,2.85,2.89,1.53,1.59,1.38,0.11
54.52,15.33,8.99,0.1,2.58,3.08,1.59,1.69,1.11,0.15
54.98,15.78,8.28,0.1,2.64,3.07,1.59,1.81,1.17,0.11
59.83,14.5,5.53,0.09,1.73,2.3,2.27,2.06,0.87,0.09
56.29,13.64,6.12,0.08,1.87,2.98,1.73,2.29,0.78,0.12
58.27,13.73,5.51,0.09,1.74,2.88,1.58,2.4,0.85,0.1
58.69,15.59,6.21,0.09,2.47,1.15,2.05,2.34,0.88,0.11
54.06,13.82,10.31,0.13,3.08,1.68,1.42,1.99,1.16,0.11
59.04,17.76,5.88,0.09,1.24,0.52,0.61,3.33,0.63,0.1
61.9,16.29,5.03,0.09,1.55,1.09,0.79,2.80,0.9,0.08
62.88,15.6,5.14,0.13,1.52,1.1,0.7,2.70,1.09,0.14
66.57,14.34,4.23,0.1,1.3,0.72,0.58,2.35,0.86,0.11
58.76,16.58,5.7,0.08,2.41,1.16,0.69,3.63,1.02,0.2
59.89,17.2,5.83,0.08,2.04,0.67,0.75,3.57,1.04,0.18
60.88,16.86,5.34,0.06,2.31,0.88,0.53,3.55,0.95,0.1
57.89,17.63,5.03,0.08,2.46,1.6,0.77,4.17,0.85,0.18
54.63,17.76,4.53,0.06,1.91,4.27,0.71,3.91,0.83,0.2
58.81,16.75,5.16,0.05,2.49,1.2,0.46,3.83,0.88,0.11
61.02,17.48,4.41,0.04,1.29,0.68,0.73,4.35,0.79,0.19
57.58,19.65,4.58,0.04,1.7,1.05,1.08,4.26,0.83,0.14
55.29,18.94,4.97,0.04,1.81,2.16,0.98,4.16,0.88,0.34
64.18,17.62,5.95,0.08,1.91,0.81,0.76,3.54,0.87,0.12
62.38,18.35,6.53,0.09,2.03,0.61,0.78,3.71,0.9,0.1
65.81,17.47,5.53,0.09,1.47,0.85,0.68,3.20,0.98,0.12
67.03,14.31,5.28,0.17,3.44,0.58,0.54,2.50,0.78,0.1
65.73,15.37,5.22,0.08,2.36,0.81,0.69,3.40,0.92,0.13
64.12,16.05,5.08,0.07,2.07,1.22,0.64,3.60,1.02,0.13
55.56,19.95,5.75,0.06,1.79,0.74,0.71,4.39,0.87,0.14
67.93,14.27,3.25,0.05,1.21,2.56,0.56,3.55,0.85,0.16
63.56,18.41,4.73,0.04,1.34,0.7,0.83,4.11,0.75,0.14
65.16,17.68,4.69,0.05,1.62,0.62,1.05,4.03,0.91,0.12
67.35,16.15,3.53,0.05,1.52,0.53,1.07,4.54,0.68,0.09
64.14,18.03,4.63,0.04,1.38,0.38,1.13,4.43,1.25,0.12
60.46,19.13,5.46,0.05,1.73,0.7,1.24,4.76,0.96,0.14
49.02,8.44,12.92,0.22,16.08,0.83,0.22,1.09,0.45,0.1
69.2,11.28,5.6,0.12,4.96,0.45,0.37,2.06,0.98,0.08
60.28,12.04,7.08,0.11,8.75,0.78,0.45,2.12,0.88,0.09
70.06,14.84,4.91,0.07,1.35,0.57,0.73,2.73,1.22,0.11
61.84,15.89,4.94,0.11,1.7,1.27,0.77,2.82,0.95,0.12
60.02,16.39,4.89,0.07,2.14,1.1,0.86,3.48,0.82,0.1
69.64,15.27,3.13,0.05,1.13,0.59,0.68,4.69,0.61,0.09
65.26,17.5,4.56,0.04,1.39,0.5,0.93,4.06,0.82,0.14
70.75,14.94,3.87,0.04,1.45,0.45,0.7,3.11,0.68,0.12
68.15,15.66,3.63,0.04,1.47,0.61,0.85,4.54,0.65,0.13
61.22,19.85,5.22,0.05,1.57,0.8,1.03,4.80,0.71,0.14
64.4,17.46,4.64,0.04,1.59,1.09,0.97,4.11,0.81,0.19
60.08,18.89,5.48,0.05,2,1.27,1.16,4.63,0.85,0.24
58.17,7.36,7.83,0.08,13.65,0.85,0.29,0.87,0.61,0.14
56.61,9.38,7.98,0.12,13.19,0.52,0.34,1.38,0.73,0.11
61.17,15,5.08,0.13,2.45,0.94,0.73,2.74,0.87,0.13
61.52,15.55,5.13,0.13,2.12,0.9,0.74,2.76,0.91,0.12
62.62,13.89,4.44,0.08,2.75,1.73,0.62,2.57,0.88,0.12
59.27,17.62,4.27,0.06,1.57,0.91,2.25,3.97,0.74,0.16
58.19,16.83,5.06,0.08,1.8,1.43,1.99,3.63,0.88,0.2
58.53,16.64,5.35,0.07,1.76,1.4,2.02,3.57,0.96,0.23
58.54,17.28,4.72,0.05,1.91,1.57,1.72,3.86,0.82,0.22
55.86,18.68,5.98,0.07,1.89,1.01,1.39,3.88,0.82,0.16
55.92,19.94,5.4,0.04,1.42,0.61,1.05,4.17,0.7,0.14
61.17,18.21,3.51,0.03,1.34,1.1,1.27,3.80,0.64,0.15
59.45,18.6,4.7,0.07,1.36,0.85,1.1,3.64,0.81,0.14
62.57,10.73,5.43,0.19,7,0.53,0.36,1.58,0.67,0.15
62.7,10.38,5.45,0.19,6.93,0.5,0.34,1.52,0.67,0.14
58.83,17.78,5.83,0.08,1.47,0.62,1.1,3.18,0.88,0.1
58.66,13.89,4.32,0.07,3.11,5.01,0.4,2.50,0.82,0.08
52.14,13.59,4.28,0.07,3.24,8.96,0.38,2.37,0.8,0.07
65.99,13.04,4.53,0.06,2.33,0.89,0.39,2.14,0.95,0.08
57.67,16.8,5.41,0.06,1.98,1.47,1.61,3.88,0.87,0.13
58.21,17.05,5.35,0.06,1.94,1.4,1.77,3.81,0.9,0.14
60.03,15.6,4.47,0.07,1.63,1.81,1.77,3.52,0.99,0.16
60.92,14.86,3.9,0.06,1.39,1.52,1.64,3.48,0.95,0.14
52.85,17.77,6.36,0.1,2.14,2.52,1.43,3.57,1.34,0.46
50.56,17.18,7.44,0.1,3.26,3.08,1.09,3.26,1.27,0.36
60.85,17.3,4.25,0.05,1.37,0.89,1.25,3.82,0.76,0.13
65.96,16.23,5.48,0.07,1.7,1.63,0.64,3.03,0.99,0.26
71.35,12.89,4.64,0.7,2.21,0.89,0.73,2.04,0.93,0.23
67.13,13.77,4.55,0.1,1.82,0.72,0.56,2.17,1.12,0.09
62.71,15.54,5.16,0.1,1.88,0.78,0.58,2.60,1.13,0.12
63.09,12.81,4.29,0.08,2.64,1.83,0.49,2.22,0.99,0.12
56.71,15.48,5.38,0.09,3.18,2.12,0.43,2.66,1,0.12
61.54,15.43,4.4,0.07,1.91,0.81,0.99,3.19,0.87,0.07
55.44,15.51,6.41,0.09,3.06,2.91,1.24,2.36,1.17,0.31
54.79,16.48,5.79,0.09,2.58,3.42,1.96,3.59,1.2,0.49
52.88,16.47,5.89,0.09,2.73,2.95,1.79,3.68,1.16,0.43
58.31,18.18,4.26,0.08,1.63,1.42,1.23,4.66,0.64,0.18
58.12,17.03,4.73,0.06,2.35,1.75,1.55,4.19,0.79,0.16
56.11,17.71,4.56,0.06,2.33,1.99,1.6,4.38,0.78,0.14
62.14,15.41,5.2,0.12,2.53,1.28,0.63,2.55,0.87,0.09
63.57,16.01,4.51,0.1,1.65,0.68,0.63,2.88,0.9,0.09
60.06,17.98,5.56,0.08,1.31,0.65,0.71,3.14,1.11,0.1
58.17,18.22,5.62,0.08,1.3,1.46,0.61,3.04,1.11,0.15
60.78,14.99,5.04,0.07,3.28,1.75,0.55,2.91,0.92,0.15
58.33,16.97,4.91,0.06,1.67,2.61,0.65,3.32,0.88,0.11
60.66,17.04,3.61,0.06,1.35,1.19,1.74,3.91,0.62,0.1
55.96,15.45,5.73,0.08,2.52,3.02,1.8,2.67,1.22,0.41
55.49,15.58,6.43,0.09,3.07,2.91,1.32,2.39,1.19,0.29
59.46,17.23,3.57,0.07,1.2,1.16,1.91,3.92,0.6,0.1
55.86,15.58,4.82,0.06,2.7,5,1.21,2.85,0.87,0.19
59.33,15.88,4.71,0.07,2.41,1.59,1.3,2.91,0.95,0.15
58.85,15.68,5.02,0.06,2.43,1.82,1,3.86,0.9,0.45
65.9,14.33,4.29,0.07,1.56,1.48,1.04,2.28,1.42,0.07
62.86,15.03,4.89,0.09,2.3,1.32,0.73,2.54,1.14,0.09
60.09,17.93,5.53,0.08,1.24,0.6,0.73,3.00,1.23,0.1
62.61,16.59,5.34,0.07,1.18,0.8,0.59,2.70,1.27,0.12
61.71,14.18,4.84,0.08,3.22,1.74,0.58,2.71,0.9,0.14
58.18,17.28,5.01,0.06,1.8,1.53,1.07,3.42,0.91,0.14
59.12,16.46,3.94,0.07,2.08,2.47,1.87,3.92,0.64,0.17
55.68,15.02,5.95,0.07,3.2,3.21,2.22,3.01,1.03,0.13
55.96,18.24,4.87,0.07,2.06,1.44,1.7,4.22,0.91,0.09
53.85,19.19,5.4,0.06,2.38,1.89,1.24,4.65,0.92,0.19
56.84,16.92,5.31,0.07,2.3,2.08,1.42,3.97,0.94,0.24
56.98,17.39,5.34,0.09,1.82,2.18,1.6,4.23,0.84,0.18
56.25,16.8,5.32,0.08,2.09,2.31,1.16,4.35,1.01,0.19
63.05,15.49,4.9,0.09,1.87,0.95,0.78,2.64,1.02,0.08
61.31,16.28,5.52,0.1,2.04,0.74,0.63,2.90,1.05,0.09
61.47,16.42,5.48,0.1,1.41,0.89,0.9,2.79,1.08,0.11
61.45,16.5,5.22,0.11,1.39,1.47,0.94,2.69,1.08,0.1
55.44,18.25,5.65,0.1,2.11,2.12,0.97,3.82,0.95,0.18
61.19,16.28,3.97,0.07,1.88,1.37,1.54,3.97,0.68,0.13
63.66,14.29,4.47,0.07,2.93,1.19,1.29,2.71,0.67,0.09
58.22,15.25,4.8,0.07,2.67,2.39,1.99,3.27,0.82,0.23
59.01,15.15,4.53,0.07,2.51,2.52,2.2,3.34,0.89,0.21
60.3,14.99,5.76,0.08,2.35,2.03,1.6,3.11,0.96,0.15
59.24,16.31,5.17,0.08,2.04,1.79,1.94,3.63,0.78,0.12
56.14,18.1,4.45,0.07,1.79,1.64,1.24,5.08,0.81,0.23
63.38,14.17,3.37,0.06,1.84,2.43,1.09,3.99,0.69,0.22
59.12,15.97,6.29,0.11,3.13,0.94,0.61,2.88,1.05,0.16
61.43,15.36,5.46,0.1,3.24,0.92,0.61,2.49,1.07,0.14
62.96,16.61,5.27,0.09,1.86,0.7,0.65,2.51,1.18,0.1
59.11,16.38,4.87,0.12,2.25,2.17,0.83,3.21,1.01,0.21
60.92,16.37,4.93,0.12,2.11,1.44,0.85,3.36,1.03,0.17
53.93,18.56,5.22,0.08,2.32,2.39,0.97,4.29,0.86,0.16
54.79,16.4,4.33,0.06,2.18,5.21,1.25,4.15,0.59,0.28
59.59,16.04,4.78,0.08,2.59,1.2,1.35,3.09,0.99,0.12
53.46,19.51,5.58,0.09,2.44,2.58,1.17,4.06,0.88,0.19
55.84,17.05,5.41,0.11,2.7,2.31,1.63,4.09,0.83,0.13
58.11,15.72,4.9,0.08,2.27,2.26,1.84,3.74,0.76,0.26
57.49,16.36,5.6,0.09,2.25,2.09,1.52,3.89,0.9,0.2
62.98,17.11,3.78,0.04,1.2,0.74,0.98,4.84,0.73,0.1
77.25,12.1,3.5,0.11,1.18,0.53,0.45,1.75,0.57,0.07
75.66,12.72,3.7,0.14,1.21,0.53,0.41,2.00,0.57,0.08
62.49,15.53,5.04,0.08,2.27,1.1,0.71,2.62,1.04,0.14
60.38,16.08,5.26,0.11,1.86,1.86,0.7,2.75,1.12,0.13
57.86,13.44,5.18,0.09,2.93,4.2,0.55,2.06,1.06,0.21
52.92,16.93,5.8,0.09,3.13,3.65,0.87,3.88,0.77,0.18
54.93,16.71,4.78,0.08,2.47,4.22,2.04,3.56,0.73,0.21
59.92,15.02,4.86,0.07,2.2,2.61,1.27,2.75,1.09,0.11
61.03,15.46,4.06,0.06,1.42,2.45,0.74,3.89,0.93,0.12
59.13,15.77,4.27,0.06,2.03,2.53,1.2,3.49,0.97,0.16
62.75,15.1,4.87,0.08,1.96,1.11,1.26,2.73,1.14,0.09
68.42,13.72,3.9,0.13,1.37,0.68,0.58,2.31,0.5,0.11
62.93,13.96,4.2,0.06,2.11,1.98,1.64,2.85,0.79,0.11
78.43,10.49,2.96,0.1,1.06,0.47,0.36,1.55,0.47,0.08
77.13,11.13,3.22,0.12,1.15,0.56,0.38,1.71,0.5,0.08
62.12,14.87,5.11,0.08,2.06,1.78,0.55,2.34,1.13,0.1
61.52,14.65,4.9,0.07,2.73,2.35,0.52,2.21,1.14,0.12
55.04,15.8,5.37,0.08,2.78,4.06,1.6,3.03,0.92,0.15
59.69,16.33,5.13,0.07,2.23,1.33,1.21,3.95,0.86,0.07
60.65,14.98,4.84,0.09,2.44,2.09,0.95,2.85,0.98,0.13
61.96,15.18,5.25,0.08,1.85,1.04,0.61,2.47,1.21,0.09
59.78,14.94,4,0.05,1.28,3.4,0.58,3.78,0.84,0.18
63.74,15.06,3.31,0.04,1.18,2.45,0.6,3.46,0.87,0.13
58.35,18.93,4.47,0.04,1.4,2.04,0.93,3.77,0.91,0.13
59.51,18.65,4.68,0.03,1.45,1.34,1.05,3.71,1.01,0.15
57.39,19.62,4.33,0.03,1.53,1.43,1.12,4.10,0.89,0.14
74.49,11.25,3.52,0.14,1.38,1.83,0.33,1.73,0.56,0.13
64.55,14.49,4.39,0.11,1.93,1.32,0.6,2.25,0.73,0.29
59.67,14.82,5.19,0.07,2.71,2.67,0.68,2.42,1.05,0.15
59.09,15.09,5.39,0.07,2.84,2.17,0.76,2.58,0.92,0.14
63.35,14.62,4.2,0.06,2.03,1.44,1.11,3.20,0.73,0.07
55.94,16.05,5.01,0.06,2.33,2.65,0.89,3.91,0.78,0.09
58.77,14.94,4.34,0.06,1.78,3.6,0.73,3.41,0.84,0.13
58.74,16.99,5.22,0.06,2.09,0.8,0.91,3.86,1,0.12
63.06,16.56,4.23,0.04,1.43,1.34,0.84,3.47,1.02,0.1
64.43,16.04,4.56,0.05,1.26,0.54,0.63,2.99,1,0.09
66.62,14.26,3.45,0.07,1.33,1.82,0.69,2.74,0.65,0.13
43.32,15.04,6.23,0.05,3.22,11.35,0.96,2.18,0.98,0.16
54.12,17.04,10.03,0.09,4.35,3.69,0.79,2.26,1.21,0.15
64.03,15.56,5.34,0.41,2.09,2.96,0.7,2.77,0.91,0.16
55.71,13.54,4.68,0.06,3.88,5.57,1.06,1.87,0.81,0.14
60.37,14.75,5.13,0.07,2.67,2.27,0.91,2.53,0.98,0.17
47.52,14.64,7.2,0.08,4.46,6.64,0.74,2.34,1.09,0.16
59.17,16.06,4.8,0.07,2.82,2.2,0.88,3.08,0.85,0.1
60.08,14.75,4.28,0.06,2.27,3.37,0.72,3.00,0.75,0.11
56.74,13.65,3.39,0.06,1.41,7.57,0.51,2.64,0.67,0.16
72.26,11.52,3.7,0.04,1.04,2.59,0.56,2.52,0.59,0.13
68.87,13.96,3.66,0.04,1.82,1.11,0.96,3.10,0.83,0.16
54.61,15.88,6.99,0.07,3.91,5.39,1.46,2.89,1.09,0.21
55.63,17.53,6.9,0.06,3.29,4.13,1.38,3.71,0.92,0.11
52.92,14.45,6.93,0.07,4.77,5.3,1.09,1.44,1.08,0.13
50.68,14.8,8.03,0.09,3.69,6.71,0.82,1.35,1.29,0.25
59.4,20.05,4.86,0.04,1.74,0.53,1.36,4.86,0.86,0.13
56.42,21.09,5.63,0.05,1.84,0.53,1.24,5.27,0.99,0.11
54.24,21.14,6.64,0.08,1.9,0.63,1.12,4.58,0.95,0.1
61.41,18.54,4.9,0.04,1.88,0.9,1.27,4.13,1.39,0.12
63.03,16.59,4.46,0.03,1.89,2.29,1.18,3.74,0.59,0.15
64.61,16.91,4.92,0.03,1.49,0.52,0.96,3.63,0.9,0.15
59.23,18.53,5.87,0.05,1.83,1.16,1.01,3.68,0.93,0.14
61,15.05,6.1,0.08,2.19,3.35,1.14,2.34,1.56,0.12
63.86,16.14,3.68,0.03,1.61,3,0.97,3.49,0.66,0.14
41.43,15.93,4.41,0.05,2.59,14.06,0.65,3.12,0.79,0.13
46.42,18.61,5.22,0.06,2.31,8.49,1.2,4.9,0.95,0.1
58.66,17.53,6.27,0.15,2.26,1.3,0.84,3.94,0.84,0.19
60.43,17.2,5.98,0.06,2.52,1.25,1.16,4.24,0.95,0.11
63.93,17.76,4.21,0.03,1.63,0.47,1.22,4.12,0.65,0.12
62.39,18.91,3.97,0.05,1.81,1.06,1.57,4.12,0.8,0.14
59.62,19.69,4.65,0.05,2.01,0.63,1.24,5.04,0.83,0.13
56.21,18.34,4.26,0.05,1.82,4.91,1.26,4.29,0.77,0.1
57.7,18.22,4.5,0.04,2.12,3.51,1.16,4.29,1.01,0.11
67.3,15.56,3.83,0.03,1.61,0.78,1.12,3.49,0.67,0.09
68.64,15.02,3.35,0.04,1.55,1.18,1.8,3.01,0.66,0.11
63.63,13.86,6.26,0.09,2.03,2.71,1.01,2.23,1.55,0.14
63.17,16.53,4.69,0.04,1.94,1.85,0.89,3.32,0.8,0.11
66.19,13.36,4.36,0.05,1.83,2.46,0.72,3.17,0.78,0.08
58.08,14.13,5.78,0.1,2.08,4.7,0.91,3.36,0.82,0.11
71.07,12.37,4.22,0.07,1.6,1.08,1.09,2.81,0.94,0.07
60.97,16.26,5.78,0.06,2.41,0.83,1.05,4.87,0.87,0.07
62.14,18.42,5.3,0.03,1.41,0.35,1.13,4.11,0.85,0.13
64.03,17.17,4.15,0.04,1.59,1.26,1.29,3.82,0.89,0.14
64.27,16.51,4.37,0.04,1.58,1.38,1.35,3.73,0.7,0.12
60.7,19.25,3.93,0.04,1.33,1.44,1.65,4.66,0.64,0.13
64.43,17.65,4.05,0.05,1.5,0.55,1.38,4.16,0.73,0.1
65.5,16.94,3.92,0.03,1.65,0.55,1.37,3.91,0.74,0.09
67.5,15.47,4.45,0.04,1.69,0.64,1.05,3.26,0.71,0.08
70.39,14.25,3.39,0.03,1.45,0.74,1.15,3.24,0.46,0.11
63.64,12.4,5.23,0.07,1.91,3.84,1.07,2.38,1.01,0.19
55.7,13.86,5.77,0.09,1.99,4.42,4.34,2.22,1.58,0.07
65.86,14,5.07,0.07,1.4,1.34,1.57,3.03,1.15,0.07
64.67,15.33,3.94,0.05,1.54,0.85,3.74,3.34,0.83,0.07
59.12,17.73,5.29,0.06,2.39,0.64,1.09,5.47,0.67,0.08
64.67,16.32,4.41,0.04,1.29,0.63,1.28,4.19,0.8,0.1
64.79,16.5,4.23,0.05,1.48,0.81,1.3,3.92,1.03,0.11
68.04,14.26,4.39,0.05,1.66,0.72,1.03,3.32,1.32,0.17
65.13,15.99,4.77,0.04,1.72,0.67,1.2,3.61,0.7,0.09
61.13,16.83,4.23,0.04,1.78,0.61,1.31,4.13,0.88,0.09
63.73,16.94,4.49,0.05,1.86,0.77,1.46,4.04,0.81,0.11
60.44,16.89,3.98,0.04,1.52,3.17,1.67,3.93,0.58,0.07
62.75,16.16,4,0.04,1.75,2.85,1.17,3.55,0.52,0.1
69.06,14.18,4.15,0.04,1.56,0.58,0.96,3.35,0.5,0.08
59.38,14.12,8.33,0.1,3.02,2.88,1.8,2.21,1.22,0.1
66.04,13.6,4.88,0.06,1.63,1.32,1.33,2.99,0.88,0.1
67.53,13.75,4.97,0.06,1.65,0.88,1.48,3.93,0.82,0.06
65.17,11.41,6.57,0.09,1.64,2.81,1.46,1.96,1.65,0.11
57.89,19.15,5.24,0.04,1.44,0.69,1.93,4.34,1.16,0.2
66.34,15.61,4.53,0.04,1.3,0.56,1.36,3.45,1.26,0.17
61.43,17.55,5.36,0.04,1.32,0.33,1.36,3.81,1.85,0.13
65.89,16.24,3.79,0.03,1.4,0.57,1.48,3.77,0.62,0.09
63.4,16.53,4.01,0.04,1.62,1.53,1.7,3.74,0.63,0.1
64.44,15.61,4.28,0.05,1.93,1.03,1.47,3.63,0.71,0.23
66.72,15.29,4.32,0.05,1.91,0.73,1.3,3.4,0.52,0.1
67.05,13.55,4,0.04,1.57,0.94,1.55,2.85,0.75,0.08
65.5,15.08,4.51,0.07,1.53,0.65,1,3.45,0.74,0.12
62.91,15.9,5.61,0.06,2.27,0.96,1.31,3.79,1.1,0.1
67.7,14.24,4.51,0.05,1.49,0.67,1.52,3.78,0.68,0.06
68.35,14.26,3.6,0.04,1.32,0.93,1.74,4.44,0.53,0.05
65.67,14.44,3.96,0.05,1.04,2.13,1.04,4.85,0.69,0.08
60.64,19.51,4.18,0.04,1.19,0.52,1.8,4.88,0.87,0.15
60.37,18.62,4.94,0.04,1.31,0.57,1.44,4.03,0.78,0.11
65.27,16.07,5.33,0.04,1.19,0.34,1.04,3.27,0.81,0.11
65.35,16.38,4.09,0.04,1.52,0.58,1.56,3.77,0.73,0.11
64.8,14.39,4.15,0.04,1.4,3.42,1.26,3.11,0.78,0.2
60.51,18,5.35,0.06,1.68,0.76,1.35,3.87,0.75,0.12
69.69,13.77,4.25,0.05,1.46,0.48,1.39,2.99,0.85,0.09
67.15,14.05,3.72,0.04,1.74,1.42,1.17,3.19,0.5,0.14
63.38,11.98,4.25,0.06,1.86,4.58,0.53,2.52,0.83,0.12
67.99,14.67,4.25,0.05,1.88,1.14,1.78,3.42,0.75,0.08
68.81,14.44,3.61,0.05,1.48,0.77,1.73,3.8,0.53,0.07
60.21,15.88,4.96,0.07,2.76,1.78,3,3.83,0.67,0.13
54.72,15.52,8.39,0.11,3.67,3.36,2.37,2.42,1.58,0.58
57.71,17.68,4.34,0.06,1.25,3.43,1.53,4.49,0.82,0.1
64.49,16.44,3.94,0.03,1.21,0.77,1.27,3.88,0.58,0.23
60.83,16.8,4.02,0.04,1.49,3.01,1.32,3.77,0.97,0.17
67.91,14.61,4.13,0.04,1.42,0.52,1.07,3.05,0.98,0.11
65.06,15.87,4.95,0.04,1.5,0.43,1,3.15,0.93,0.12
60.97,18.17,5.12,0.03,1.59,1.03,1.19,3.93,0.72,0.11
66.5,14.64,4.1,0.04,1.58,0.98,1.33,3.05,0.98,0.11
68.77,12.85,3.92,0.05,1.65,1.52,0.87,2.74,0.64,0.1
68.41,12.09,4.91,0.07,1.95,1.77,1.04,2.53,0.92,0.09
56.69,16.66,7.1,0.07,3.31,1.9,1.68,2.73,1.07,0.09
58.97,15.32,6.38,0.1,2.28,3.25,1.64,3.15,1.18,0.24
58.54,16.67,5.51,0.08,2.44,2.41,2.94,2.54,1.26,0.24
55.72,17.62,6.56,0.09,2.5,1.1,1.37,3.83,0.9,0.08
71.35,12.34,2.9,0.05,0.72,0.69,0.92,4.59,0.75,0.07
63.61,16.68,4.84,0.04,1.24,0.43,0.99,3.56,1.08,0.13
65.99,16.58,3.47,0.04,1.49,0.54,1.29,3.68,0.72,0.1
66.48,15.07,4.35,0.04,1.22,0.49,0.98,3.11,1.04,0.13
67.99,13.87,3.99,0.03,1.26,0.91,0.95,2.97,0.79,0.14
66.94,15.05,3.84,0.03,1.56,0.55,1.35,3.35,0.49,0.14
62.49,14.39,3.78,0.04,1.76,3.44,2.07,2.86,0.56,0.1
63.2,14.04,4.68,0.06,1.86,3.11,0.75,2.95,0.75,0.12
56.95,14.73,7.22,0.17,3.23,3.78,1.83,1.99,1.14,0.14
54.95,16.35,7.9,0.1,2.92,3.05,2.09,2.25,1.23,0.19
55.81,17.35,7.06,0.09,2.32,2.01,1.96,2.79,0.97,0.07
58.56,17.13,6.54,0.09,2.29,1.36,1.58,3.37,1.24,0.08
54.76,19.07,7.94,0.12,2.75,1.01,1.01,4.08,0.88,0.06
68.01,14.36,3.58,0.04,1.22,0.83,1.21,3.46,0.86,0.15
64.01,15.79,4.46,0.04,1.39,1.83,1.08,3.45,0.77,0.11
67.73,13.59,4.2,0.04,1.34,0.8,1.7,2.84,1.05,0.16
63.51,16.87,4.91,0.04,1.17,0.37,0.93,3.67,1.05,0.12
66.87,15.18,4.2,0.04,1.79,0.43,1.26,3.4,0.53,0.08
68.91,13.42,3.53,0.04,1.59,0.95,1.15,3.14,0.44,0.19
62.98,13.41,3.27,0.03,1.43,5.7,0.95,2.99,0.51,0.08
57.69,15.25,7.44,0.13,2.61,2.92,1.92,1.99,1.24,0.09
54.85,16.83,8.15,0.16,2.7,3.66,2.01,2.58,1.23,0.12
68.64,12.37,4.96,0.07,2.12,1.47,1.08,2.38,0.82,0.07
59.91,16.69,5.93,0.08,2.68,1.29,2.7,2.28,1.08,0.11
51.95,16.24,7.36,0.12,2.45,5.41,1.29,2.9,1,0.19
59.97,17.79,5.5,0.07,1.72,0.9,1.31,3.92,0.79,0.07
61.45,14.96,3.13,0.05,1.34,4.89,0.82,4.13,0.7,0.1
65.74,16.61,4.62,0.04,1.11,0.33,1.19,3.34,1.29,0.14
66.09,16.38,4.37,0.03,1.11,0.46,1.22,3.34,1.2,0.13
71.57,12.16,4.37,0.04,1.38,0.38,0.69,2.47,1.3,0.14
66.79,16.07,4.55,0.03,1.7,0.45,1.13,3.59,0.48,0.08
65.69,14.05,3.76,0.03,1.62,3.07,1.16,3.04,0.64,0.1
69.06,12.47,3.65,0.04,1.59,2.92,0.79,2.67,0.59,0.12
59.92,14.28,6.67,0.12,2.87,4.66,1.03,2.68,0.99,0.18
57.09,18.33,7.19,0.11,2.35,2.15,2.18,2.25,1.4,0.1
55.56,17.06,7.19,0.13,2.79,3.27,1.97,2.57,1.33,0.3
56.66,17.73,4.6,0.07,2.05,2.43,5.47,3.03,1.07,0.19
61.89,15.95,5.66,0.26,2.17,2.4,1.74,2.8,0.71,0.08
57.36,17.77,6.92,0.07,2.22,1.88,1.52,2.65,1.18,0.07
53.42,14.51,4.38,0.04,1.46,7.99,1.08,3.21,1.2,0.17
66.4,14.54,5.1,0.09,1.46,0.9,1.11,3.51,1.2,0.08
74.93,10.27,2.49,0.05,0.68,1.43,0.81,3.94,0.69,0.08
63.68,17.38,4.8,0.04,1.43,0.75,1.13,3.7,0.94,0.14
62.58,14.43,4.26,0.03,1.62,3.97,1.18,3.24,0.56,0.1
59.17,16.97,4.32,0.03,1.96,4.32,1.22,3.78,0.53,0.11
64.1,15.43,4.11,0.04,1.85,2.31,1.61,2.98,0.58,0.11
