SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 
57.47,13.74,6.74,0.1,3.45,4.19,1.18,2.4,0.95,0.17
59.83,14.33,7.1,0.1,2.92,2.79,1.39,2.55,0.86,0.1
56.9,14.91,7.94,0.1,3.85,2.9,1.43,2.74,0.87,0.13
54.43,13.75,8.6,0.12,4.5,4.13,1.57,2.27,1.03,0.13
52.74,12.73,7.68,0.12,4.89,4.86,1.49,2.07,0.93,0.16
58.67,13.71,6.32,0.1,2.84,3.84,1.91,2.11,0.81,0.11
63.8,13.89,6.67,0.1,2.58,1.88,1.25,2.37,0.83,0.08
58.16,18.31,7.3,0.09,2.32,2.04,1.4,3.35,0.96,0.13
57.95,14.03,9.43,0.11,3.43,3.3,1.49,2.14,1.26,0.14
54.01,12.83,7.34,0.11,4.57,5.06,1.5,2.11,0.97,0.16
50.27,14.32,10.15,0.14,3.92,3.86,1.5,2.19,1.11,0.17
66.96,11.52,6.45,0.09,2.58,2.94,0.15,1.98,0.88,0.1
63.65,12.97,7.13,0.1,3.26,2.81,0.14,2.15,1.03,0.15
57.92,14.52,8.45,0.11,2.94,3.16,1.35,2.13,1.2,0.12
56.89,14.07,8.25,0.11,3.88,3.39,1.32,2.52,1.1,0.15
52.72,13.68,8.37,0.11,3.83,5.46,1.77,2.1,1.05,0.16
60.54,13.43,7.37,0.11,3.27,3.37,1.96,2.14,0.83,0.13
62.1,12.08,5.63,0.1,2.38,4.06,2,2,0.65,0.11
62.94,13.01,6.37,0.1,2.8,3.47,1.62,2.09,0.86,0.1
65.98,11.61,5.54,0.08,2.63,3.16,1.39,2.24,0.81,0.23
61.19,15.96,6.97,0.62,2.54,2.09,1.42,3.14,1.22,0.56
62.77,12.03,7.49,0.11,2.84,4.23,0.16,1.67,0.96,0.18
55.68,11.71,7.15,0.1,4.04,6.22,1.12,2.32,0.97,0.19
61.5,12.16,6.71,0.12,3.35,3.23,1.19,2.58,1,0.16
