SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 ,Ba ,Ga ,Sc  ,V ,Th ,Pb ,Ni ,Co ,Rb  ,Sr ,Y ,Zr ,Nb,Cr ,Cu ,Zn,Be ,Ge ,Sn,La ,Ce,Pr ,Nd,Sm ,Eu ,Gd,Tb ,Dy ,Ho ,Er,Tm,Yb ,Lu ,Hf ,Au 
64.28,10.04,4.99,0.08,2.3,4.42,1.09,1.92,0.75,0.2,407,18,10,65,11,23,41,15,96,190,28,337,14,91,24,68,2.144,1.856,2.596,46.07,87.88,10.21,41.81,7.472,1.349,6.383,1.135,6.023,1.16,3.597,0.547,3.433,0.539,10.11,1
68.19,11.03,6.02,0.1,2.39,2.22,1.48,1.98,0.95,0.22,366,19,13,74,12,26,36,12,104,171,43,471,19,96,25,73,2.155,2.086,3.082,64.41,123.6,14.36,58.32,11.03,1.947,9.703,1.688,9.35,1.778,5.601,0.857,5.493,0.855,15.26,1
63.47,11.83,7.65,0.11,2.94,4.09,2.06,1.6,1.11,0.22,410,21,14,115,10,23,78,24,80,150,60,455,29,163,56,79,2.318,2.436,4.309,49.46,96.02,11.79,49.35,10.6,2.589,10.37,2.126,12.55,2.542,8.095,1.261,8.234,0.988,14.76,1
62.55,12.96,6.97,0.1,2.62,3.11,1.28,2.05,0.85,0.13,354,21,13,88,13,26,65,22,133,173,43,441,20,146,40,77,2.301,2.176,3.776,55.62,105,12.32,48.77,9.848,1.737,8.234,1.535,8.553,1.645,5.111,0.793,5.222,0.815,15.68,1
65.65,10.65,8.62,0.1,3.19,2.82,0.08,1.24,1.06,0.11,291,21,15,130,13,20,97,19,90,147,63,631,31,227,48,75,2,1.14,4.76,40.82,75.03,9.65,40.4,9.06,2.11,8.61,1.81,11.31,2.26,6.94,1.11,7.29,1.13,23.07,0.5
63.41,10.77,8.15,0.11,4.07,3.6,0.07,1.15,0.85,0.23,306,16,16,109,12,17,159,23,75,169,50,387,24,343,45,77,1.72,1.15,3.86,40.89,73.72,9.04,37.34,7.93,1.93,7.63,1.61,10,2.07,6.62,1.03,6.71,1.02,13.07,0.5
49.64,11.79,7.97,0.1,6.44,7.18,1.58,1.55,1.06,0.17,291,24,17,121,6,20,106,25,65,178,50,435,25,240,37,98,1.4889,1.308,2.1406,50.8352,98.7719,11.953,49.2824,10.8211,2.6285,9.171,1.9844,11.6597,2.2217,7.1394,1.0777,6.8299,0.9423,14.3926,3
52.3,15.44,9.51,0.12,4.13,5.64,1.23,2.23,1.1,0.14,305,25,20,142,14,24,68,33,96,125,36,237,13,155,58,78,2.0055,1.707,1.3235,66.3061,122.6624,13.9549,55.5413,10.761,2.0024,8.9957,1.633,8.7028,1.6032,4.9228,0.7428,4.3796,0.6193,7.9458,1
65.04,10.43,5.74,0.09,3.94,4.57,0.03,1.51,0.74,0.22,333,14,14,79,16,25,43,13,88,138,32,259,12,83,31,76,1.69,1.22,2.44,35.69,65.55,7.76,31.13,6.18,1.29,5.36,0.99,5.58,1.02,3.12,0.47,3.12,0.47,10.16,0.5
56.73,13.21,5.74,0.09,3.68,4.37,1.79,2.38,0.77,0.24,346,27,14,100,18,37,50,17,106,206,36,334,16,125,41,94,3.0862,1.5227,4.2972,37.8181,69.6229,8.1723,31.9409,6.2229,1.2382,5.5211,1.0454,6.0084,1.1904,3.6133,0.5293,3.3557,0.4796,8.632,9
56.08,13.99,6.78,0.09,3.59,4.71,1.18,2.28,0.86,0.14,326,28,15,104,14,30,62,22,112,194,33,295,17,151,46,89,2.9615,1.5298,3.0466,39.8873,74.7743,8.7512,34.377,6.4506,1.2223,5.5239,0.9558,4.898,0.9366,2.7738,0.4124,2.7761,0.4169,8.4229,8
52.09,13.1,5.44,0.09,3.25,7.21,2.45,2.07,0.83,0.09,319,27,14,98,12,26,54,19,85,247,33,319,15,142,27,66,2.4311,1.3351,3.0801,46.8466,79.2439,10.527,42.1784,8.1171,1.6899,6.9762,1.2361,6.7132,1.1958,3.5591,0.53,3.5551,0.5311,9.9215,4
59.74,13.45,6.36,0.09,3.88,3.54,1.2,2.32,0.85,0.14,350,23,13,99,10,18,57,20,119,249,31,306,16,146,32,75,2.5486,1.3484,3.1538,31.8855,60.671,7.146,28.7291,5.6351,1.1407,5.0269,0.8911,4.9873,0.9367,2.9064,0.4485,3.0474,0.4479,9.1127,1
60.82,14.87,5.63,0.08,2.97,3.91,1.12,1.82,0.7,0.08,346,27,11,86,17,25,49,16,99,147,37,322,18,120,24,67,0.88,0.77,0.5,14.96,29.21,3.31,15.62,2.75,0.69,2.5,0.47,2.61,0.52,1.52,0.24,1.62,0.23,3.18,0.5
65.25,10.74,5.65,0.08,2.55,3.34,1.6,1.87,0.85,0.13,300,18,12,72,11,20,39,15,94,230,36,432,14,122,27,69,2.091,1.984,2.803,52.66,101,11.79,47.94,9.107,1.57,7.99,1.388,7.805,1.439,4.383,0.731,4.482,0.742,14.33,2
57.03,14.39,8.36,0.11,4.15,3.86,1.72,2.1,1.07,0.21,285,18,18,115,15,22,104,33,88,203,47,396,24,226,62,94,2.4,1.48,2.25,58.84,112.36,13.78,55.01,10.69,2.45,8.49,1.64,9.81,1.87,5.62,0.89,5.55,0.87,12.62,0.5
67.1,11.51,7.53,0.1,3.21,2.27,0.12,1.66,0.84,0.12,268,18,14,110,15,20,104,19,97,158,45,405,23,275,46,73,2.31,1.21,3.25,56.51,105.4,12.21,48.64,9.42,2.05,8.43,1.55,8.79,1.77,5.57,0.9,5.87,0.91,17.89,0.5
