SiO2  ,Al2O3 ,Fe2O3 ,MnO ,MgO ,CaO ,Na2O ,K2O ,TiO2 ,P2O5 ,Ba ,Ga ,Sc  ,V ,Th ,Pb ,Ni ,Co ,Rb  ,Sr ,Y ,Zr ,Nb,Cr ,Cu ,Zn,Be ,Ge ,Sn,La ,Ce,Pr ,Nd,Sm ,Eu ,Gd,Tb ,Dy ,Ho ,Er,Tm,Yb ,Lu ,Hf ,Au 
56.14,18.1,4.45,0.07,1.79,1.64,1.24,5.08,0.81,0.23,664,26,12,143,17,29,28,12,211,116,46,549,27,78,24,51,5.16,1.69,3.44,88.33,158.85,19.46,75.58,11.47,1.94,10.29,1.84,13.29,2.76,9.22,1.38,8.81,1.42,22.02,0.5
63.38,14.17,3.37,0.06,1.84,2.43,1.09,3.99,0.69,0.22,581,18,10,100,12,27,28,12,155,128,28,419,18,89,22,41,2.07,1.61,2.96,60.93,111.06,12.84,49.44,7.43,1.50,6.62,1.17,7.57,1.46,4.81,0.71,4.55,0.70,15.63,0.5
59.12,15.97,6.29,0.11,3.13,0.94,0.61,2.88,1.05,0.16,504,21,13,145,13,27,166,21,140,63,34,70,18,232,33,277,3.30,1.51,4.29,45.43,79.14,9.49,35.52,6.49,1.21,5.04,0.78,5.59,1.21,3.24,0.59,3.49,0.58,9.13,2
61.43,15.36,5.46,0.1,3.24,0.92,0.61,2.49,1.07,0.14,443,17,11,147,11,27,165,18,121,75,31,57,22,247,39,301,2.71,1.36,3.44,48.30,84.82,10.04,37.18,6.52,1.15,5.02,0.76,5.20,1.05,2.81,0.51,2.85,0.50,9.38,2
62.96,16.61,5.27,0.09,1.86,0.7,0.65,2.51,1.18,0.1,413,18,11,163,13,23,53,15,130,77,33,55,25,132,39,302,2.08,1.27,3.80,50.66,89.30,11.05,42.18,7.66,1.55,7.61,1.08,6.63,1.40,4.11,0.70,4.22,0.67,10.18,1
59.11,16.38,4.87,0.12,2.25,2.17,0.83,3.21,1.01,0.21,517,19,11,157,13,20,52,13,163,91,30,64,26,102,43,237,2.23,1.14,3.59,53.33,93.93,11.34,42.76,7.72,1.43,7.69,1.02,5.74,1.20,3.47,0.59,3.54,0.55,7.88,1
60.92,16.37,4.93,0.12,2.11,1.44,0.85,3.36,1.03,0.17,562,20,12,162,14,21,45,14,159,82,31,58,24,92,36,238,2.31,1.19,3.66,56.62,100.46,11.97,45.33,7.85,1.49,7.92,1.04,6.24,1.36,4.09,0.69,4.17,0.65,7.86,1
53.93,18.56,5.22,0.08,2.32,2.39,0.97,4.29,0.86,0.16,609,23,14,148,16,25,42,14,222,110,37,269,26,103,27,64,3.83,2.36,5.82,87.02,164.15,18.89,72.45,10.06,2.27,8.62,1.45,8.98,1.62,5.07,0.70,4.34,0.71,11.72,0.5
54.79,16.4,4.33,0.06,2.18,5.21,1.25,4.15,0.59,0.28,364,21,13,94,13,19,35,13,236,112,35,272,20,70,32,51,3.22,1.82,6.99,60.68,117.18,13.51,51.50,7.35,1.43,6.57,1.16,7.35,1.36,4.11,0.59,3.84,0.62,11.86,0.5
59.59,16.04,4.78,0.08,2.59,1.2,1.35,3.09,0.99,0.12,449,20,11,144,14,16,30,16,147,101,39,367,28,78,31,50,2.70,2.00,3.83,100.55,187.53,21.98,85.56,12.91,2.41,11.15,1.96,12.62,2.30,6.95,1.00,6.29,0.96,15.80,0.5
53.46,19.51,5.58,0.09,2.44,2.58,1.17,4.06,0.88,0.19,573,23,12,140,14,21,38,12,224,138,43,62,34,91,27,403,3.59,1.18,4.21,103.85,150.68,22.91,87.13,16.20,2.25,15.13,1.93,10.17,2.06,6.15,1.02,6.17,0.98,16.72,1
55.84,17.05,5.41,0.11,2.7,2.31,1.63,4.09,0.83,0.13,545,25,11,130,13,17,42,13,239,151,45,60,33,95,28,336,3.43,1.02,2.90,97.33,138.18,20.81,80.28,14.54,1.94,13.84,1.71,9.06,1.80,5.21,0.85,4.94,0.78,9.37,1
58.11,15.72,4.9,0.08,2.27,2.26,1.84,3.74,0.76,0.26,485,24,12,109,13,18,35,16,179,111,59,408,47,80,36,63,3.86,1.80,4.50,85.70,162.97,19.64,78.12,13.04,1.85,12.34,2.58,18.89,3.76,11.86,1.82,11.48,1.84,20.17,0.5
57.49,16.36,5.6,0.09,2.25,2.09,1.52,3.89,0.9,0.2,534,24,11,136,14,19,32,13,200,124,56,58,45,72,19,613,3.58,1.14,2.70,104.36,147.01,23.04,87.97,15.80,1.88,15.52,2.09,12.29,2.59,7.66,1.28,7.65,1.21,22.40,1
62.98,17.11,3.78,0.04,1.2,0.74,0.98,4.84,0.73,0.1,679,22,9,129,15,37,25,7,188,150,38,36,15,81,14,814,2.84,0.80,3.36,39.13,74.02,8.49,31.87,6.04,1.57,6.52,1.02,7.19,1.62,4.76,0.86,5.17,0.86,25.29,0.5
77.25,12.1,3.5,0.11,1.18,0.53,0.45,1.75,0.57,0.07,248,24,9,60,14,40,26,15,93,71,24,180,18,63,32,70,1.52,2.38,2.51,52.58,96.83,11.33,43.63,7.69,1.29,6.02,0.95,4.54,0.92,2.67,0.41,2.47,0.36,5.53,0.5
75.66,12.72,3.7,0.14,1.21,0.53,0.41,2.00,0.57,0.08,323,26,9,53,18,40,28,18,100,70,27,163,19,65,34,71,1.71,2.46,2.53,49.25,93.11,10.70,41.94,7.24,1.25,5.77,0.88,4.38,0.87,2.56,0.35,2.38,0.33,4.08,0.5
62.49,15.53,5.04,0.08,2.27,1.1,0.71,2.62,1.04,0.14,387,17,11,140,12,21,67,16,123,85,29,54,21,139,28,300,3.35,1.19,4.70,48.76,87.24,10.52,40.03,7.16,1.35,7.07,0.95,5.51,1.12,3.30,0.55,3.46,0.54,9.72,1
60.38,16.08,5.26,0.11,1.86,1.86,0.7,2.75,1.12,0.13,395,17,11,163,12,19,51,16,140,76,32,57,25,104,31,266,2.22,1.26,3.57,45.32,79.90,9.63,36.47,6.57,1.28,6.50,0.91,5.45,1.11,3.28,0.56,3.29,0.54,8.48,1
57.86,13.44,5.18,0.09,2.93,4.2,0.55,2.06,1.06,0.21,308,16,12,127,9,21,68,17,122,108,30,52,20,139,42,343,1.78,1.15,3.06,42.73,74.82,9.28,35.62,6.44,1.26,6.59,0.95,6.05,1.27,3.63,0.62,3.65,0.58,11.55,1
52.92,16.93,5.8,0.09,3.13,3.65,0.87,3.88,0.77,0.18,456,22,13,116,11,21,71,18,211,94,36,244,19,152,29,66,3.47,2.10,5.14,60.81,108.99,13.09,50.93,7.66,1.87,6.89,1.25,8.05,1.44,4.25,0.62,3.86,0.63,12.34,0.5
54.93,16.71,4.78,0.08,2.47,4.22,2.04,3.56,0.73,0.21,466,20,12,112,12,12,46,18,188,135,32,244,16,92,34,50,2.87,1.53,4.38,59.60,104.71,12.78,50.22,7.75,1.57,6.67,1.14,6.85,1.26,3.74,0.55,3.43,0.56,10.56,0.5
59.92,15.02,4.86,0.07,2.2,2.61,1.27,2.75,1.09,0.11,391,18,12,145,12,17,48,28,144,108,30,303,23,99,33,43,2.33,2.13,3.93,63.37,118.75,13.85,53.95,8.03,1.80,7.17,1.28,8.78,1.62,4.86,0.70,4.44,0.70,12.42,0.5
61.03,15.46,4.06,0.06,1.42,2.45,0.74,3.89,0.93,0.12,490,18,11,147,14,26,36,17,175,78,34,494,20,78,19,45,2.19,1.71,3.67,75.73,145.16,15.84,64.64,10.11,2.00,8.67,1.47,9.09,1.70,5.19,0.80,5.09,0.86,18.20,0.5
59.13,15.77,4.27,0.06,2.03,2.53,1.2,3.49,0.97,0.16,488,19,11,145,13,22,34,15,169,137,41,459,34,81,25,47,2.63,1.90,15.63,77.60,146.01,17.54,70.04,10.83,2.27,10.13,2.03,15.38,3.01,9.39,1.38,8.86,1.37,20.30,0.5
62.75,15.1,4.87,0.08,1.96,1.11,1.26,2.73,1.14,0.09,424,19,11,156,14,19,33,20,134,92,41,342,33,76,29,41,2.50,2.14,7.72,139.76,261.22,29.65,114.07,18.18,2.81,15.29,2.48,14.39,2.69,7.90,1.12,6.92,1.00,12.70,0.5
68.42,13.72,3.9,0.13,1.37,0.68,0.58,2.31,0.5,0.11,316,17,8,68,14,25,30,15,123,69,29,52,16,69,31,230,1.64,0.77,1.94,44.84,77.76,9.58,36.63,6.42,1.10,6.48,0.83,4.80,0.98,2.74,0.45,2.64,0.42,5.84,1
62.93,13.96,4.2,0.06,2.11,1.98,1.64,2.85,0.79,0.11,397,16,10,112,11,66,39,19,122,131,27,351,18,85,29,65,2.07,1.54,2.96,41.64,77.05,9.09,35.92,5.62,1.43,5.03,0.93,6.63,1.31,4.18,0.64,3.97,0.62,14.35,0.5
78.43,10.49,2.96,0.1,1.06,0.47,0.36,1.55,0.47,0.08,267,30,8,52,21,35,20,10,81,63,23,161,16,54,30,72,1.23,2.39,1.98,46.95,87.93,10.18,39.76,7.11,1.17,5.82,0.87,4.34,0.87,2.56,0.35,2.12,0.34,3.42,0.5
77.13,11.13,3.22,0.12,1.15,0.56,0.38,1.71,0.5,0.08,265,27,9,49,18,35,24,15,86,65,23,176,16,54,33,67,1.38,2.30,2.35,43.69,82.07,9.56,37.47,6.59,1.14,5.18,0.91,4.30,0.76,2.32,0.35,2.18,0.37,4.52,0.5
62.12,14.87,5.11,0.08,2.06,1.78,0.55,2.34,1.13,0.1,365,16,10,149,11,17,37,14,115,74,29,47,21,95,29,399,1.83,1.25,3.25,46.07,81.38,9.80,37.51,6.73,1.23,6.64,0.92,5.74,1.19,3.58,0.62,3.81,0.64,13.87,1
61.52,14.65,4.9,0.07,2.73,2.35,0.52,2.21,1.14,0.12,401,16,12,151,13,13,39,19,89,63,27,46,19,102,24,409,1.81,1.17,3.17,47.42,86.83,10.32,39.98,7.17,1.28,6.92,0.95,5.48,1.18,3.48,0.59,3.59,0.59,14.30,1
55.04,15.8,5.37,0.08,2.78,4.06,1.6,3.03,0.92,0.15,359,19,12,131,10,19,50,21,163,107,31,252,17,98,41,46,2.24,1.57,4.00,43.56,80.45,9.40,37.95,6.36,1.51,5.75,1.06,7.23,1.48,4.51,0.69,4.40,0.69,10.86,0.5
59.69,16.33,5.13,0.07,2.23,1.33,1.21,3.95,0.86,0.07,394,23,12,129,12,22,40,19,231,102,34,232,18,94,35,42,2.81,1.73,3.50,38.75,72.54,8.52,33.65,5.58,1.37,4.74,0.89,6.12,1.22,3.72,0.59,3.77,0.59,9.45,0.5
60.65,14.98,4.84,0.09,2.44,2.09,0.95,2.85,0.98,0.13,372,18,11,137,12,18,51,20,141,85,30,279,19,114,28,48,2.13,1.80,3.53,54.14,101.77,11.80,45.60,6.86,1.45,6.03,1.02,6.40,1.20,3.72,0.53,3.63,0.53,9.62,0.5
61.96,15.18,5.25,0.08,1.85,1.04,0.61,2.47,1.21,0.09,406,16,11,170,13,18,45,22,118,65,31,344,24,101,25,48,1.86,2.05,3.79,52.66,98.95,11.46,44.92,6.78,1.57,5.82,1.04,7.27,1.45,4.53,0.70,4.57,0.71,13.11,0.5
59.78,14.94,4,0.05,1.28,3.4,0.58,3.78,0.84,0.18,436,18,11,132,13,26,33,17,171,93,32,437,19,85,25,42,2.10,1.85,3.48,70.98,138.42,15.26,59.73,8.76,1.92,7.76,1.35,9.17,1.76,5.48,0.82,5.23,0.80,17.02,0.5
63.74,15.06,3.31,0.04,1.18,2.45,0.6,3.46,0.87,0.13,380,16,10,133,15,19,23,12,116,70,27,32,17,57,14,401,1.80,0.76,2.42,44.24,79.32,9.75,37.43,6.31,1.24,6.41,0.85,4.91,1.05,3.04,0.52,2.98,0.47,13.53,1
58.35,18.93,4.47,0.04,1.4,2.04,0.93,3.77,0.91,0.13,480,21,13,156,17,17,32,13,152,110,35,48,21,82,14,267,2.58,1.14,3.48,63.54,111.33,13.52,51.53,9.18,1.63,9.31,1.21,6.88,1.42,4.05,0.63,3.67,0.59,10.45,1
59.51,18.65,4.68,0.03,1.45,1.34,1.05,3.71,1.01,0.15,497,23,13,174,19,18,28,12,148,95,32,57,20,87,15,214,2.72,1.23,3.89,75.04,111.12,16.22,61.26,10.75,1.76,10.37,1.34,7.27,1.47,4.24,0.65,3.63,0.55,7.11,1
57.39,19.62,4.33,0.03,1.53,1.43,1.12,4.10,0.89,0.14,570,24,13,165,21,26,33,10,160,89,33,43,20,95,19,370,2.74,1.14,4.25,87.51,128.19,19.16,72.91,12.97,2.18,12.48,1.54,8.08,1.67,5.02,0.78,4.48,0.70,13.04,1
74.49,11.25,3.52,0.14,1.38,1.83,0.33,1.73,0.56,0.13,251,23,9,60,17,37,27,18,88,83,23,193,15,61,38,74,1.49,1.96,2.30,46.65,86.97,10.16,40.03,7.06,1.20,6.24,0.88,4.38,0.81,2.40,0.38,2.29,0.32,4.75,0.5
64.55,14.49,4.39,0.11,1.93,1.32,0.6,2.25,0.73,0.29,388,16,10,101,13,18,68,18,104,66,27,55,13,97,33,210,1.74,1.04,3.14,37.15,63.41,8.15,31.78,5.90,1.20,5.76,0.82,5.00,1.05,3.02,0.54,2.99,0.50,6.99,3
59.67,14.82,5.19,0.07,2.71,2.67,0.68,2.42,1.05,0.15,381,18,13,142,13,16,49,18,109,73,28,48,17,103,26,332,1.82,1.20,3.16,37.76,67.82,8.23,32.32,6.09,1.15,6.01,0.88,5.56,1.17,3.44,0.57,3.42,0.56,11.00,1
59.09,15.09,5.39,0.07,2.84,2.17,0.76,2.58,0.92,0.14,421,19,12,131,12,24,54,18,133,98,30,52,16,113,31,302,2.02,1.21,3.33,37.26,66.35,8.10,31.63,5.83,1.20,5.89,0.82,4.97,1.04,3.06,0.52,2.95,0.51,10.26,1
63.35,14.62,4.2,0.06,2.03,1.44,1.11,3.20,0.73,0.07,399,18,10,111,12,21,34,17,167,122,29,316,18,94,23,34,2.09,1.72,3.42,46.29,88.49,10.21,39.94,6.15,1.47,5.39,0.96,6.60,1.31,3.97,0.62,3.88,0.60,11.79,0.5
55.94,16.05,5.01,0.06,2.33,2.65,0.89,3.91,0.78,0.09,419,21,11,126,12,24,43,20,201,100,31,260,17,96,27,52,2.64,1.75,2.87,39.61,73.84,8.65,34.21,5.36,1.34,4.69,0.88,6.05,1.17,3.59,0.55,3.58,0.53,10.08,0.5
58.77,14.94,4.34,0.06,1.78,3.6,0.73,3.41,0.84,0.13,435,18,12,124,12,25,32,17,162,101,27,288,21,75,24,47,2.15,1.60,2.85,47.06,87.85,10.12,39.18,6.21,1.37,5.44,0.93,6.32,1.23,3.84,0.57,3.64,0.53,10.90,0.5
58.74,16.99,5.22,0.06,2.09,0.8,0.91,3.86,1,0.12,454,22,12,163,14,30,44,17,216,82,34,228,25,96,25,80,2.83,2.08,4.06,66.52,125.90,14.55,56.16,9.05,1.80,7.37,1.17,7.52,1.35,3.91,0.57,3.56,0.51,9.69,0.5
63.06,16.56,4.23,0.04,1.43,1.34,0.84,3.47,1.02,0.1,446,19,11,161,17,23,31,12,142,84,32,47,20,84,22,356,2.33,1.06,3.92,63.68,111.67,13.64,51.95,9.06,1.55,9.14,1.18,6.63,1.38,3.97,0.65,3.72,0.61,12.34,1
64.43,16.04,4.56,0.05,1.26,0.54,0.63,2.99,1,0.09,417,19,11,150,17,22,33,15,120,57,32,46,20,90,16,386,2.16,1.10,3.08,50.03,88.66,10.64,40.50,7.45,1.41,7.55,1.13,6.93,1.50,4.41,0.75,4.27,0.70,13.34,1
66.62,14.26,3.45,0.07,1.33,1.82,0.69,2.74,0.65,0.13,378,15,9,93,14,21,24,13,114,80,25,44,16,71,21,218,2.31,0.87,2.92,52.59,91.79,10.93,41.13,7.27,1.30,6.84,0.91,5.38,1.12,3.22,0.53,2.97,0.46,6.61,0.5
43.32,15.04,6.23,0.05,3.22,11.35,0.96,2.18,0.98,0.16,378,16,18,127,7,16,71,21,97,169,23,70,16,121,52,232,2.87,1.49,3.30,46.05,81.20,9.77,37.87,6.73,1.42,6.47,0.84,4.62,0.91,2.62,0.41,2.41,0.37,10.61,0.5
54.12,17.04,10.03,0.09,4.35,3.69,0.79,2.26,1.21,0.15,438,44,21,173,21,31,93,35,124,160,27,271,19,187,71,101,2.71,1.60,4.34,59.53,113.47,13.63,54.93,10.30,1.95,8.58,1.41,7.22,1.42,4.37,0.64,3.74,0.54,8.02,0.5
64.03,15.56,5.34,0.41,2.09,2.96,0.7,2.77,0.91,0.16,384,31,15,78,19,39,54,18,125,94,33,249,19,87,34,78,2.07,2.11,3.57,47.93,91.13,10.47,41.63,7.64,1.48,6.54,1.16,6.45,1.24,3.82,0.61,3.54,0.53,7.34,0.5
55.71,13.54,4.68,0.06,3.88,5.57,1.06,1.87,0.81,0.14,331,15,12,105,10,18,46,16,105,144,24,47,13,98,32,272,1.59,0.93,2.62,30.59,54.69,6.23,24.47,4.54,1.00,4.76,0.66,3.85,0.76,2.23,0.37,2.24,0.36,8.81,0.5
60.37,14.75,5.13,0.07,2.67,2.27,0.91,2.53,0.98,0.17,373,18,13,136,13,20,46,21,127,94,29,52,17,114,30,330,1.75,1.17,3.19,40.54,73.65,8.96,34.77,6.55,1.18,6.43,0.88,5.25,1.09,3.05,0.52,3.19,0.50,12.49,1
47.52,14.64,7.2,0.08,4.46,6.64,0.74,2.34,1.09,0.16,292,19,16,143,6,15,59,24,142,152,29,70,20,101,75,196,2.06,1.27,2.19,29.46,51.26,6.41,25.88,4.85,1.12,4.75,0.69,4.30,0.86,2.41,0.39,2.23,0.35,5.71,2
59.17,16.06,4.8,0.07,2.82,2.2,0.88,3.08,0.85,0.1,332,19,11,122,11,27,40,17,170,88,33,46,19,79,22,276,2.30,0.91,2.02,35.26,61.63,7.63,29.80,5.84,1.08,5.72,0.85,5.17,1.07,3.04,0.49,2.96,0.46,7.78,2
60.08,14.75,4.28,0.06,2.27,3.37,0.72,3.00,0.75,0.11,331,17,11,106,11,19,41,15,146,76,30,47,16,81,21,281,1.64,0.79,1.94,29.63,53.22,6.48,25.72,4.81,0.96,4.88,0.68,4.16,0.86,2.46,0.41,2.40,0.38,7.89,2
56.74,13.65,3.39,0.06,1.41,7.57,0.51,2.64,0.67,0.16,272,12,11,82,9,18,28,10,117,92,25,44,16,63,27,303,1.39,0.63,2.00,31.07,54.55,6.58,25.86,4.66,0.95,4.66,0.66,3.97,0.83,2.30,0.38,2.22,0.34,7.77,1
72.26,11.52,3.7,0.04,1.04,2.59,0.56,2.52,0.59,0.13,323,33,8,47,15,32,21,15,97,90,25,421,16,44,15,61,1.30,1.51,1.90,46.51,90.23,9.94,38.79,6.85,1.12,5.51,0.94,4.63,0.86,2.81,0.41,2.56,0.43,10.58,0.5
68.87,13.96,3.66,0.04,1.82,1.11,0.96,3.10,0.83,0.16,338,26,10,70,21,33,23,16,110,111,26,392,18,74,21,64,1.71,1.78,2.66,91.68,175.14,19.42,75.24,13.03,1.86,10.04,1.61,8.06,1.42,4.28,0.62,3.63,0.57,10.97,1
54.61,15.88,6.99,0.07,3.91,5.39,1.46,2.89,1.09,0.21,476,35,19,113,23,39,63,26,108,171,25,277,19,134,28,82,3.18,1.34,2.68,66.55,120.93,13.96,54.20,9.88,1.64,7.86,1.14,5.07,0.84,2.59,0.35,2.26,0.35,7.88,0.5
55.63,17.53,6.9,0.06,3.29,4.13,1.38,3.71,0.92,0.11,325,38,19,119,27,43,55,19,143,151,18,229,18,99,50,92,2.96,1.24,2.15,65.65,128.85,14.70,57.34,9.64,1.30,7.11,0.94,3.79,0.65,1.80,0.25,1.58,0.23,8.54,0.5
52.92,14.45,6.93,0.07,4.77,5.3,1.09,1.44,1.08,0.13,343,17,15,127,7,15,63,22,90,171,23,75,20,122,40,272,2.08,1.30,3.08,39.20,69.45,8.25,32.40,5.96,1.15,5.82,0.78,4.69,0.97,2.80,0.46,2.74,0.43,8.08,1
50.68,14.8,8.03,0.09,3.69,6.71,0.82,1.35,1.29,0.25,359,14,16,144,4,15,78,25,82,185,26,73,23,169,47,264,1.94,1.52,3.34,37.25,66.67,8.39,34.42,6.40,1.47,6.42,0.88,5.13,1.03,2.85,0.46,2.79,0.42,9.16,1
59.4,20.05,4.86,0.04,1.74,0.53,1.36,4.86,0.86,0.13,628,24,16,125,39,28,29,12,169,82,28,242,31,100,26,57,3.00,1.56,4.08,150.03,285.83,30.04,112.96,3.79,18.86,15.16,1.95,6.98,1.11,2.73,0.31,1.99,0.28,7.36,1.5
56.42,21.09,5.63,0.05,1.84,0.53,1.24,5.27,0.99,0.11,715,26,17,133,37,28,34,13,200,84,26,262,42,107,31,64,3.27,1.66,4.44,108.84,212.25,22.36,83.05,2.96,14.09,11.45,1.56,6.14,1.04,2.71,0.35,2.25,0.32,8.17,1.5
54.24,21.14,6.64,0.08,1.9,0.63,1.12,4.58,0.95,0.1,569,25,21,140,43,35,45,19,207,88,32,304,43,123,31,53,2.76,1.74,3.98,141.66,275.82,28.69,108.27,3.63,18.33,14.89,1.93,7.53,1.33,3.57,0.46,3.00,0.42,8.21,1.5
61.41,18.54,4.9,0.04,1.88,0.9,1.27,4.13,1.39,0.12,396,20,17,120,78,1,27,12,151,89,32,280,43,95,22,55,2.88,1.58,3.20,262.96,500.67,52.09,197.65,5.78,33.08,26.45,3.38,11.59,1.72,4.19,0.48,3.00,0.41,9.78,1.5
63.03,16.59,4.46,0.03,1.89,2.29,1.18,3.74,0.59,0.15,447,19,13,96,37,26,17,7,154,122,28,218,29,87,22,58,2.24,1.66,3.00,85.48,163.76,17.07,63.95,2.19,10.86,8.90,1.26,5.38,1.02,2.70,0.38,2.47,0.34,5.19,1.5
64.61,16.91,4.92,0.03,1.49,0.52,0.96,3.63,0.9,0.15,365,19,16,98,59,1,19,5,154,135,48,260,38,84,16,40,2.50,1.92,3.07,170.87,335.96,34.87,130.83,3.72,22.35,18.72,2.83,12.85,2.53,6.74,0.95,5.85,0.79,6.91,1.5
59.23,18.53,5.87,0.05,1.83,1.16,1.01,3.68,0.93,0.14,379,19,18,133,35,11,32,14,145,105,36,272,28,101,27,51,2.18,1.70,3.01,112.89,218.15,22.46,85.46,2.79,14.49,12.34,1.87,8.99,1.85,5.14,0.72,4.61,0.63,8.00,1.5
61,15.05,6.1,0.08,2.19,3.35,1.14,2.34,1.56,0.12,238,18,19,214,40,7,30,15,94,136,36,285,37,104,34,58,1.69,1.42,2.78,114.83,216.92,23.05,87.85,2.83,14.83,12.58,1.90,8.95,1.75,4.68,0.66,4.02,0.55,8.67,1.5
63.86,16.14,3.68,0.03,1.61,3,0.97,3.49,0.66,0.14,400,19,15,104,36,34,20,6,130,86,27,272,30,82,19,45,2.49,1.39,2.78,52.83,110.31,11.86,44.37,1.68,7.82,6.73,1.04,5.29,1.09,3.02,0.44,2.72,0.37,7.90,1.5
41.43,15.93,4.41,0.05,2.59,14.06,0.65,3.12,0.79,0.13,430,18,2,110,34,30,33,14,135,86,32,232,15,105,26,55,2.16,1.14,2.67,57.88,117.84,13.12,48.97,1.91,8.53,7.15,1.03,4.77,0.96,2.55,0.38,2.44,0.35,7.80,1.5
46.42,18.61,5.22,0.06,2.31,8.49,1.2,4.9,0.95,0.1,955,27,14,115,25,24,34,14,184,98,30,258,26,122,13,78,2.78,1.13,4.16,54.58,112.58,12.17,47.31,2.02,8.25,7.01,1.05,4.97,1.01,2.76,0.40,2.69,0.37,8.78,1.5
58.66,17.53,6.27,0.15,2.26,1.3,0.84,3.94,0.84,0.19,590,23,17,107,36,42,34,11,182,93,31,278,42,98,36,78,2.92,1.42,3.95,77.68,147.86,16.49,62.83,2.40,10.87,9.00,1.29,5.44,1.07,2.85,0.41,2.57,0.35,8.04,1.5
60.43,17.2,5.98,0.06,2.52,1.25,1.16,4.24,0.95,0.11,423,21,18,113,37,23,32,11,183,92,28,392,39,100,37,64,2.72,1.30,2.53,84.62,167.47,16.47,63.90,2.12,10.65,8.92,1.22,5.31,1.01,2.65,0.37,2.45,0.34,11.08,1.5
63.93,17.76,4.21,0.03,1.63,0.47,1.22,4.12,0.65,0.12,477,20,16,100,56,12,19,8,153,87,31,291,28,81,19,46,2.29,1.62,3.20,168.66,323.55,31.96,121.55,3.76,20.15,16.58,2.22,9.02,1.57,4.11,0.53,3.41,0.46,8.44,1.5
62.39,18.91,3.97,0.05,1.81,1.06,1.57,4.12,0.8,0.14,489,22,15,116,66,29,26,12,152,119,27,346,34,101,26,52,4.06,1.39,3.30,171.36,332.91,33.77,128.06,4.32,21.46,17.34,2.18,7.75,1.24,3.06,0.35,2.29,0.31,9.16,1.5
59.62,19.69,4.65,0.05,2.01,0.63,1.24,5.04,0.83,0.13,561,26,17,142,55,40,29,14,179,76,20,303,34,118,38,41,2.24,1.14,3.44,146.98,279.58,28.63,107.05,3.47,17.78,13.77,1.56,4.86,0.75,2.07,0.24,1.60,0.22,7.21,1.5
56.21,18.34,4.26,0.05,1.82,4.91,1.26,4.29,0.77,0.1,458,23,16,124,51,24,28,12,144,76,24,264,22,101,29,38,1.99,1.20,3.16,147.04,278.93,28.49,107.91,3.64,17.87,14.18,1.63,5.23,0.81,2.15,0.25,1.69,0.23,7.24,1.5
57.7,18.22,4.5,0.04,2.12,3.51,1.16,4.29,1.01,0.11,487,20,16,130,67,13,29,12,151,81,25,308,33,102,26,50,2.32,1.26,2.93,207.64,390.61,39.72,151.24,4.65,24.66,19.18,2.17,6.52,0.93,2.55,0.27,2.02,0.29,21.04,1.5
67.3,15.56,3.83,0.03,1.61,0.78,1.12,3.49,0.67,0.09,438,20,14,108,61,9,23,11,141,78,25,271,27,88,32,48,2.35,1.02,2.20,137.19,260.53,27.01,100.84,3.22,17.24,13.66,1.62,5.73,0.83,2.05,0.21,1.35,0.19,6.47,1.5
68.64,15.02,3.35,0.04,1.55,1.18,1.8,3.01,0.66,0.11,326,14,10,88,46,14,20,7,112,70,25,255,26,79,20,44,1.85,1.12,1.94,114.82,219.61,22.73,84.85,2.56,14.30,11.58,1.49,5.92,0.99,2.47,0.28,1.78,0.24,5.57,1.5
63.63,13.86,6.26,0.09,2.03,2.71,1.01,2.23,1.55,0.14,297,15,20,232,25,31,32,17,94,115,26,335,36,125,39,63,1.57,1.02,2.39,48.17,101.56,10.84,41.74,1.64,7.46,6.18,0.87,3.99,0.77,2.03,0.30,1.97,0.28,8.54,1.5
63.17,16.53,4.69,0.04,1.94,1.85,0.89,3.32,0.8,0.11,394,18,17,136,42,28,28,11,132,71,25,290,31,107,34,45,1.75,1.11,2.27,88.25,170.01,17.74,67.77,2.27,11.35,9.06,1.22,4.87,0.86,2.28,0.30,1.90,0.27,8.58,1.5
66.19,13.36,4.36,0.05,1.83,2.46,0.72,3.17,0.78,0.08,373,13,9,93,16,20,26,12,128,57,20,272,13,75,32,44,1.97,1.32,3.16,67.50,140.26,14.98,56.07,1.98,9.47,7.87,1.13,4.77,0.87,2.38,0.32,2.17,0.31,8.64,1.5
58.08,14.13,5.78,0.1,2.08,4.7,0.91,3.36,0.82,0.11,437,19,12,85,11,19,30,13,147,99,30,337,13,78,19,69,2.83,1.38,2.20,56.10,115.35,12.34,46.83,1.89,7.88,6.97,1.14,6.06,1.37,4.09,0.62,4.07,0.58,11.01,1.5
71.07,12.37,4.22,0.07,1.6,1.08,1.09,2.81,0.94,0.07,302,20,7,97,23,16,22,12,115,101,24,360,15,84,26,41,2.54,1.30,2.33,89.26,174.29,18.48,68.54,2.03,11.33,9.25,1.27,4.94,0.94,2.71,0.38,2.57,0.37,11.31,1.5
60.97,16.26,5.78,0.06,2.41,0.83,1.05,4.87,0.87,0.07,430,19,10,92,18,16,27,14,207,74,16,263,17,75,38,52,3.23,1.27,2.87,90.13,170.77,17.90,65.06,2.04,10.28,8.62,1.14,4.33,0.81,2.28,0.31,2.04,0.29,8.82,1.5
