Ba ,Ga ,Sc  ,V ,Th ,Pb ,Ni ,Co ,Rb  ,Sr ,Y ,Zr ,Nb,Cr ,Cu ,Zn,Be ,Ge ,La ,Ce,Pr ,Nd,Sm ,Eu ,Gd,Tb ,Dy ,Ho ,Er,Tm,Yb ,Lu ,Hf ,Hf 
258,23,14,119,9,22,61,25,79,152,32,283,16,142,44,85,1.7972,1.6216,41.3309,79.1342,9.4822,38.7515,7.9614,1.7976,7.4908,1.341,8.0396,1.5061,4.5516,0.6497,4.519,0.6735,9.5853,9.5853
335,22,17,91,9,22,64,24,106,221,30,257,19,148,41,77,2.262,2.131,46.22,88.97,10.07,40.8,7.78,1.507,7.068,1.164,6.273,1.162,3.448,0.54,3.416,0.456,7.868,7.868
330,24,14,102,17,22,57,21,105,152,42,301,27,156,66,70,2.499,2.318,90.31,164.4,18.66,70.7,13.32,1.846,11.73,1.885,9.451,1.701,5.217,0.709,4.833,0.637,10.99,10.99
316,19,16,115,8,27,77,30,107,135,30,236,24,196,49,79,2.215,2.825,42.5,80.32,9.302,37.64,7.188,1.596,6.772,1.182,6.696,1.228,3.821,0.58,3.514,0.45,6.915,6.915
374,13,12,87,14,23,81,20,72,178,36,420,20,241,29,69,2.138,1.982,40.97,75.21,9.124,37.46,7.735,1.637,6.844,1.311,7.565,1.43,4.373,0.682,4.436,0.689,13.06,13.06
417,15,12,83,8,26,53,16,82,268,27,270,13,127,30,71,1.96,1.925,35.23,68.56,7.887,32.6,6.41,1.32,5.604,1.024,5.927,1.121,3.694,0.55,3.363,0.483,8.705,8.705
312,17,12,98,9,23,42,14,85,145,32,346,18,133,21,54,1.8793,1.2363,38.0216,77.1744,8.5264,34.3373,6.5825,1.2871,5.8466,1.0476,5.9005,1.1297,3.5452,0.5421,3.6087,0.5258,9.4884,9.4884
353,24,18,125,38,19,71,22,103,121,57,402,16,134,82,101,3.12,1.92,94.51,171.37,20.9,83.42,16.29,2.2,13.34,2.16,10.62,1.77,5.14,0.73,4.7,0.72,13.31,13.31
392,20,16,133,19,22,80,32,83,126,35,296,17,197,58,122,2.189,3.362,95.24,183.1,21.06,85.58,16.78,3.03,14.1,2.208,10.93,1.775,5.042,0.709,4.387,0.598,9.905,9.905
348,19,17,113,15,24,64,29,87,130,39,276,14,137,57,85,2.144,2.94,99.38,185.4,20.92,81.18,15.07,2.357,12.78,1.954,9.696,1.588,4.457,0.62,3.941,0.519,8.383,8.383
256,17,16,117,24,23,57,22,106,112,43,352,18,128,49,87,2.92,2.14,100.18,180.56,21.86,86.73,16.21,2.29,13.18,2.11,10.2,1.73,5.26,0.77,4.79,0.7,13.45,13.45
356,27,14,103,17,27,55,22,136,137,34,342,16,135,50,87,2.5388,1.959,49.9018,90.4345,10.6343,43.1728,7.9226,1.6499,7.1497,1.2864,8.1697,1.4946,5.1021,0.7348,4.8356,0.6809,13.7208,13.7208
335,18,13,100,14,30,53,18,115,151,42,359,25,130,42,78,2.3993,1.4383,60.7723,113.7548,13.5116,52.7572,10.3437,1.9739,8.6881,1.6373,9.0339,1.7498,5.0379,0.843,5.3834,0.8038,14.4082,14.4082
285,17,17,79,18,22,45,13,112,170,35,294,12,84,30,68,3.06,1.69,60.35,112.05,13.31,53.48,10.37,1.8,9.02,1.58,8.72,1.65,5.07,0.74,4.92,0.76,11.68,11.68
372,18,14,106,8,25,79,27,84,155,36,363,20,212,44,71,2.426,2.496,44.68,84.63,9.986,40.79,8.074,1.59,7.251,1.299,7.773,1.468,4.472,0.7,4.54,0.631,11.57,11.57
370,19,16,152,8,38,98,30,78,101,41,381,25,234,54,104,1.787,3.195,51.89,95.53,12.16,50.41,10.14,2.345,9.015,1.59,9.194,1.724,5.131,0.797,5.231,0.74,12.69,12.69
351,20,15,111,15,21,60,21,127,141,35,295,24,150,45,72,2.577,2.267,60.38,105.2,12.38,47.33,8.817,1.663,7.703,1.271,7.025,1.321,4.05,0.586,3.82,0.544,9.264,9.264
367,19,11,87,8,23,60,19,79,186,38,398,21,162,24,61,2.357,2.149,34.67,65.49,8.099,33.81,7.285,1.578,6.709,1.263,7.559,1.47,4.528,0.735,4.445,0.662,11.94,11.94
329,22,13,100,13,29,51,18,116,133,30,258,14,110,37,69,2.12,1.5,45.42,84.4,9.67,38.67,7.34,1.44,6.47,1.15,6.31,1.2,3.68,0.57,3.57,0.54,8.54,8.54
370,12,15,102,17,27,52,17,130,109,33,287,13,111,39,74,2.31,1.91,91.91,163.9,19.04,74.96,13.33,1.91,10.94,1.79,9.03,1.6,4.8,0.68,4.41,0.66,11.21,11.21
