X,Y,Label,BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,BP17.tif
443805.7929,2787774.984,1,238.0,129.27267,37.554226,211.02855,159.4294,86.32082,233.4104,242.90514,182.14285,146.33063,90.30354,104.77301,80.37491,16.588783,73.7906,114.83049,67.1903
443805.7929,2787774.984,1,238.0,129.27267,37.554226,211.02855,159.4294,86.32082,233.4104,242.90514,182.14285,146.33063,90.30354,104.77301,80.37491,16.588783,73.7906,114.83049,67.1903
394989.48,2701876.82,1,153.0,36.510445,27.411676,207.77141,166.4587,112.45944,230.20709,212.66798,241.33928,186.9245,89.92445,129.76935,94.19163,38.447044,95.779854,115.714615,78.669586
395027.94,2701935.28,1,153.0,34.68375,26.55485,207.77141,166.4587,112.45944,230.20709,212.66798,241.33928,186.78815,89.842026,128.20917,92.56749,37.90776,95.467766,115.00994,78.56069
396611.7,2700994.88,1,153.0,68.66085,85.812126,200.12988,160.75539,133.61685,231.99925,240.88933,236.78572,192.6659,90.746765,129.9168,92.893715,40.43653,95.883675,122.71202,73.64062
396676.88,2700935.34,1,153.0,68.66085,87.74372,203.48816,175.69168,131.72206,234.84128,228.79446,236.78572,192.22115,90.68945,129.5338,92.9549,40.36494,95.93867,122.6794,73.627846
390750.22,2704695.8,1,153.0,55.04693,92.490005,202.61824,164.85806,126.31501,235.13576,255.0,214.01785,190.77257,88.374756,147.4672,77.30442,38.171665,87.73826,102.73726,84.81007
395979.26,2703221.07,1,153.0,7.65,17.336666,205.23624,173.50908,132.47339,229.44614,212.66798,227.67857,187.37238,91.53341,111.42911,79.115,32.018013,90.98845,98.96426,89.69769
393330.35,2701505.73,1,153.0,34.68375,4.8083262,208.00517,148.89482,119.489426,232.4908,0.0,250.44643,188.74797,95.958916,137.4043,99.87019,40.1239,100.18728,122.49473,80.82393
391738.65,2702660.07,1,238.0,0.0,62.50824,206.06245,166.09923,125.23451,234.98372,196.5415,250.44643,190.16248,97.255035,126.718956,85.71472,37.840073,96.57504,113.05652,85.8956
391202.01,2703222.53,1,238.0,17.85,91.3582,203.99,170.0656,121.0948,232.1358,204.60475,241.33928,193.17744,96.50514,129.39658,83.59117,38.36572,94.87905,107.72297,88.21036
