BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,Label
153.0,0.0,4.8083262,201.42374,191.18874,140.90494,232.29504,82.14706,207.16449,163.57773,104.77094,94.43834,89.98473,47.8217,99.914,124.10604,1
136.0,28.509865,4.8083262,206.01141,132.69339,116.32153,228.77742,77.38175,178.35228,161.05148,83.38131,108.52218,73.89343,28.794476,86.146965,98.13148,1
153.0,77.55522,86.013954,201.38907,140.76282,117.34932,234.55188,78.54968,175.37811,183.22095,87.19041,119.63948,79.3155,37.635437,94.51404,103.84363,1
153.0,76.414955,81.74155,198.44757,144.71953,119.0818,236.71399,78.12507,175.40207,181.95493,86.6601,118.61534,78.15979,37.235394,94.03736,103.38724,1
238.0,78.72028,89.24595,200.77989,146.7639,112.20816,232.41972,78.688934,175.61447,183.1414,87.24398,119.63114,79.21959,37.585926,94.50229,103.86976,1
238.0,78.72028,97.89403,200.19681,136.86383,106.3636,232.24747,78.92215,176.16373,184.33604,87.989784,120.60103,80.30585,37.977146,95.00551,104.51336,1
153.0,77.55522,81.74155,199.87912,144.71953,119.0818,236.48952,77.782425,175.16058,181.95493,86.6601,118.61534,78.15979,37.235394,94.03736,103.38724,1
153.0,76.54249,74.25712,199.53416,141.42535,112.166534,238.15184,77.41299,175.1955,180.2623,85.901985,117.106384,76.59971,36.72609,93.375786,102.76223,1
153.0,77.84812,73.395905,201.12206,141.05453,111.29482,235.5596,77.29276,175.00612,180.2623,85.901985,117.106384,76.59971,36.72609,93.375786,102.76223,1
238.0,74.34464,73.395905,202.31703,141.05453,111.29482,232.18474,77.27769,174.95955,178.73425,85.34346,115.99906,75.21022,36.223194,92.82129,102.243675,1
238.0,70.85146,36.61912,191.34123,127.528496,134.72806,234.61324,73.470566,175.68117,169.79118,79.10687,104.82205,62.2604,31.750063,86.958115,94.91615,1
136.0,73.0654,40.8,195.8307,126.85086,133.9917,234.1938,75.44723,175.34912,170.276,79.97637,106.02754,64.07389,32.428123,87.83504,96.340546,1
136.0,106.06284,25.89363,196.34688,135.95929,121.086685,234.23024,88.014915,172.18251,171.57928,83.6551,107.496346,67.89089,35.946484,89.62858,100.76167,1
136.0,102.63551,28.037117,199.80956,133.74411,110.23972,230.142,87.98035,172.78368,170.78339,83.208824,106.34246,67.427574,35.494076,89.3622,100.48642,1
136.0,101.52075,24.041632,199.80956,131.78217,111.857056,230.142,93.45212,172.78368,171.52322,83.83063,107.61504,68.515495,35.78917,89.84589,101.14789,1
136.0,115.20245,65.40031,195.02222,140.7776,104.63556,227.23184,75.974365,170.89464,170.68698,81.49009,104.902306,62.098717,35.01635,87.21574,95.92413,1
136.0,111.764496,64.15107,195.02222,138.44852,90.35834,227.23184,77.88086,170.89464,170.06042,81.566475,104.24042,62.46615,34.814297,87.35385,96.29367,1
136.0,111.764496,66.01606,197.0098,134.22777,121.30414,229.5505,76.74324,170.80632,170.06042,81.566475,104.24042,62.46615,34.814297,87.35385,96.29367,1
136.0,118.62297,74.567825,197.22278,145.5915,95.47526,230.6075,72.3073,171.22577,171.62248,81.08614,105.139275,60.9172,35.190716,86.73381,94.72608,1
136.0,123.1679,80.81707,196.76782,143.36446,94.73873,228.72304,70.82379,171.38986,172.40924,80.70071,105.981125,60.001537,35.51954,86.33517,93.83028,1
102.0,54.750824,28.037117,199.64488,132.40163,123.19164,232.03705,68.32103,174.13733,166.31052,75.67912,100.11906,54.48314,28.68264,83.38423,88.99608,1
153.0,95.8203,25.89363,204.46553,167.40024,103.4572,233.1264,65.8904,188.17548,177.69502,86.040436,120.07614,82.57121,34.462902,92.97671,99.52162,1
136.0,143.73045,78.495094,191.34654,139.3518,113.52409,229.19998,80.76204,180.88753,164.02274,82.68898,118.566826,75.189316,41.22336,88.91785,102.43034,1
153.0,100.36121,30.410524,198.26941,158.12497,133.13013,234.02606,72.34942,187.1911,181.36858,82.7588,136.01236,91.0789,35.80933,94.62244,98.20531,1
153.0,101.52075,29.049612,201.95346,161.78313,126.159325,232.67989,72.29607,187.1911,181.68181,82.430916,136.51256,91.197296,35.800255,94.510925,98.03396,1
153.0,98.100464,27.411676,200.78532,162.73503,120.25268,229.67831,72.29607,187.28365,181.85039,82.243,136.67758,91.18801,35.769123,94.414215,97.96543,1
153.0,26.253857,73.23824,203.32382,149.09595,123.05757,233.85585,79.13688,188.77168,166.6203,90.39301,118.08418,78.052284,35.742676,95.47978,100.74336,1
153.0,31.95141,72.044716,203.68486,162.9129,119.482956,233.15794,79.21354,188.53275,167.35571,90.87865,118.28325,79.14547,35.849834,95.874504,101.14981,1
238.0,151.05386,90.019775,196.81343,145.96307,125.6852,226.8172,80.372025,182.73224,166.93747,83.73714,121.61565,80.193474,43.163986,90.37638,105.39373,1
187.0,140.82835,131.32982,202.32112,148.6374,104.69254,233.58116,82.79508,179.60895,168.046,92.519554,127.21615,99.13104,47.882084,93.95358,123.02455,1
204.0,0.0,44.72002,203.01488,154.27094,110.152695,234.67435,78.78791,174.2685,141.66547,85.5433,84.00412,72.42561,24.080908,76.3017,112.18342,1
187.0,211.15788,0.0,199.21924,163.23647,91.311165,233.90102,76.47135,187.97939,139.5608,85.34355,84.07832,74.195816,24.293377,75.15817,110.75467,1
34.0,121.14512,116.843315,198.99153,174.94658,105.28933,232.52165,75.19491,197.99239,135.79805,85.56333,86.5995,93.54122,23.786362,76.362175,125.53087,1
204.0,225.32535,6.8,201.09752,165.192,104.17151,235.14468,78.025444,184.57933,136.11789,85.12703,130.37085,63.992714,23.343554,72.33543,98.606026,1
34.0,232.55385,17.0,200.92703,166.41393,105.46426,233.4234,78.443825,184.15378,139.02013,86.009056,134.75917,64.801674,23.559065,74.273674,100.44135,1
187.0,224.92097,3.4,200.14278,167.65848,103.29438,235.64546,78.42247,185.36406,134.95529,84.9562,133.75328,63.338684,23.325325,71.45014,97.4566,1
187.0,224.92097,3.4,200.14278,167.65848,103.29438,235.64546,78.42247,185.36406,134.95529,84.9562,133.75328,63.338684,23.325325,71.45014,97.4566,1
187.0,224.92097,3.4,200.14278,167.65848,103.29438,235.64546,78.42247,185.36406,134.95529,84.9562,133.75328,63.338684,23.325325,71.45014,97.4566,1
187.0,224.76193,6.8,204.34148,171.04839,100.491615,234.63948,78.5352,185.26222,135.85007,85.230095,134.94925,63.599373,23.3993,72.06178,98.06261,1
187.0,224.76193,6.8,204.34148,171.04839,100.491615,234.63948,78.5352,185.26222,135.85007,85.230095,134.94925,63.599373,23.3993,72.06178,98.06261,1
187.0,227.30785,6.8,204.34148,171.04839,100.491615,234.63948,78.42309,185.26222,135.85007,85.230095,134.94925,63.599373,23.3993,72.06178,98.06261,1
