BP1.tif,BP2.tif,BP3.tif,BP4.tif,BP5.tif,BP6.tif,BP7.tif,BP8.tif,BP9.tif,BP10.tif,BP11.tif,BP12.tif,BP13.tif,BP14.tif,BP15.tif,BP16.tif,BP17.tif,Label
0.0,24.05665,254.00072,209.79785,146.09232,76.78693,231.79547,242.90514,136.60715,31.033724,76.3798,93.01952,72.394196,27.272488,54.806236,143.58661,34.629208,1
0.0,69.3675,227.97754,204.32054,176.06126,94.97843,232.98521,246.93675,186.69643,26.539194,75.71559,86.05275,73.77319,28.370197,66.68635,142.3599,35.752567,1
0.0,55.92587,219.21432,206.44473,187.35794,72.09446,238.79175,248.95258,154.82143,29.62682,78.38891,93.168686,76.87081,29.368359,60.22601,138.42699,35.78266,1
0.0,123.06226,209.83813,198.28407,131.88797,102.99948,233.5479,236.85771,191.25,31.72008,74.93725,95.67074,58.244587,27.603554,51.154385,142.99667,27.046778,1
85.0,62.98035,114.03947,188.90881,84.92314,90.34816,236.53163,236.85771,232.23215,31.83278,68.24622,81.72128,49.89801,24.09689,71.55213,142.28973,26.394878,1
85.0,82.747406,130.13608,205.01782,126.51935,97.77857,234.06117,238.87352,209.46428,30.727724,80.134796,88.6806,58.549385,28.292747,50.23826,141.74973,29.719177,1
153.0,77.092705,60.248154,210.9461,154.74248,85.07419,237.39632,234.8419,72.85714,35.709297,78.66046,97.43148,62.218506,25.735363,60.108807,135.81902,31.402716,1
0.0,136.51434,229.01466,211.67143,162.04543,90.527245,233.42451,238.87352,191.25,48.86567,81.12497,99.110886,65.51253,36.52741,57.7812,140.03467,33.043552,1
0.0,137.46368,223.49667,205.95638,166.70058,105.81326,231.10162,238.87352,191.25,44.705006,79.18403,91.79578,62.09696,32.935017,68.62454,142.07436,35.346767,1
0.0,135.15,233.43916,208.27846,155.751,95.05591,231.93849,238.87352,200.35715,44.18236,78.570915,91.58838,62.81347,32.60418,68.98935,141.76523,36.01711,1
0.0,124.74167,227.90147,207.97249,175.52638,110.14088,232.74796,240.88933,154.82143,41.243744,75.47959,84.02209,59.327248,28.401728,80.430115,141.93623,39.208797,1
153.0,122.10746,0.0,210.14822,157.62938,88.1233,234.858,244.92094,72.85714,36.910862,68.17637,82.167816,64.5704,27.146837,79.705826,141.24567,43.178917,1
0.0,116.800026,0.0,216.56503,154.65244,101.07323,230.5357,232.8261,109.28571,33.84421,77.06044,90.89995,72.73587,30.850983,63.881905,132.94437,39.731804,1
187.0,130.84756,0.0,206.07544,191.24123,126.33327,234.72346,242.90514,145.71428,38.493942,76.28441,86.30146,73.359795,29.85248,68.78593,134.05484,45.55951,1
187.0,128.71819,0.0,206.07544,191.24123,126.33327,234.72346,242.90514,145.71428,38.94646,76.7075,85.78884,73.80747,29.965971,70.385895,133.9155,46.909454,1
0.0,90.15611,0.0,207.42613,167.1231,119.62144,232.6987,252.98419,118.39286,39.533413,71.54413,80.54935,72.80322,27.893442,70.82475,135.67274,47.495087,1
204.0,23.509838,10.751744,200.61339,142.07158,111.27642,230.43562,196.5415,191.25,64.94395,88.314026,128.62024,67.5099,40.79791,45.76553,98.96049,29.97528,1
204.0,25.627182,6.8,197.88797,142.85057,121.54941,230.07028,200.57312,191.25,64.534424,88.08221,130.16255,67.544426,40.91606,46.197495,98.94125,29.854446,1
204.0,34.68375,6.8,201.03377,126.00761,103.10014,235.95647,192.50989,186.69643,76.88382,89.73837,120.99123,65.52295,42.14139,45.812138,95.73377,29.39526,1
187.0,9.194156,83.9738,205.40582,161.63672,119.76505,230.87488,176.3834,182.14285,52.39784,89.779755,120.24535,69.82155,35.926872,33.173195,105.297,30.845774,1
153.0,22.807894,4.8083262,205.50597,154.74498,78.27764,231.5074,234.8419,209.46428,27.012165,76.94729,92.72384,58.475723,23.752827,50.205544,140.608,31.622944,1
187.0,22.807894,3.4,205.50597,155.56047,75.94166,231.5074,234.8419,209.46428,26.47163,77.008255,91.157646,57.12167,23.547886,49.613487,141.50728,31.457445,1
153.0,40.31904,50.544636,211.49026,154.8206,84.0839,235.00494,236.85771,81.96429,25.084982,78.12125,89.53286,55.81426,22.160995,50.89843,142.66249,31.89747,1
85.0,3.6062446,71.723076,201.2677,134.3762,91.25184,233.06912,238.87352,214.01785,20.084167,77.4661,69.175255,47.416584,19.357767,44.349854,154.12407,30.740858,1
85.0,9.194156,77.606445,203.65314,117.053474,102.96002,229.83089,238.87352,227.67857,18.999218,77.36736,65.601265,45.99221,18.488283,43.44499,156.734,30.530743,1
204.0,10.2,3.4,191.49806,125.642075,91.386154,235.78987,234.8419,200.35715,59.359974,85.99363,154.03928,69.07999,40.790047,46.593,102.2178,27.987146,1
204.0,10.2,3.4,191.49806,125.642075,91.386154,235.78987,234.8419,200.35715,59.359974,85.99363,154.03928,69.07999,40.790047,46.593,102.2178,27.987146,1
204.0,12.75,3.4,188.86772,121.05833,120.48189,227.37122,232.8261,200.35715,61.592175,85.74606,153.51552,68.10049,41.755276,48.38943,100.780235,27.529251,1
204.0,8.063808,4.8083262,190.03937,148.27072,98.37123,233.58904,230.81027,200.35715,56.400185,85.91199,159.51398,70.397026,39.64644,44.199738,104.359245,28.114307,1
187.0,130.05,0.0,205.12677,186.40929,120.3908,236.03098,240.88933,136.60715,38.92437,77.084465,85.722244,73.94743,30.080408,71.01007,133.81636,47.37449,1
85.0,79.66454,215.5986,193.78305,118.758385,75.64882,238.4484,240.88933,182.14285,36.600212,74.56666,82.77775,59.920933,24.00547,49.84628,145.81386,38.07079,1
187.0,161.94005,102.0,205.4989,148.44289,99.743935,235.51799,244.92094,245.89285,34.224285,101.4711,125.738914,101.81465,52.374687,33.366383,126.11091,46.870853,1
0.0,123.457924,0.0,204.69157,182.41162,117.62564,236.92589,234.8419,118.39286,35.475254,77.01838,89.044395,72.77001,30.279331,65.623215,133.95393,42.23797,1
204.0,225.84421,9.6166525,203.66063,166.08951,94.19612,233.76129,180.41502,209.46428,44.760376,85.052795,126.971634,64.30289,23.29273,52.083866,154.28613,36.26382,1
204.0,225.84421,9.6166525,203.66063,166.08951,94.19612,233.76129,180.41502,209.46428,44.760376,85.052795,126.971634,64.30289,23.29273,52.083866,154.28613,36.26382,1
204.0,224.31306,6.8,198.43275,161.12927,112.854164,233.49985,180.41502,209.46428,45.014538,84.7224,122.411674,64.44698,23.167906,52.938698,155.2722,36.665802,1
204.0,143.00476,129.8248,207.53586,139.13216,115.44223,232.75038,232.8261,250.44643,37.13829,99.39843,133.55705,111.98674,47.765133,37.814873,124.13316,49.748287,1
204.0,221.39523,73.553246,195.1838,124.468605,90.04472,229.15445,250.96838,204.91072,25.614927,92.16147,123.030594,95.99806,36.242695,36.314636,131.08138,44.439342,1
204.0,183.6177,55.76415,201.44057,140.82552,105.27328,235.37526,200.57312,245.89285,42.312176,95.66287,145.35974,103.95035,48.611946,41.524174,129.09514,44.852455,1
136.0,0.0,20.4,210.75284,152.69243,116.341194,231.26183,234.8419,200.35715,21.547352,79.39918,85.26335,51.60282,26.144583,32.369255,119.6949,34.233917,0
153.0,18.031223,140.1856,215.22171,157.60173,126.44628,227.58374,204.60475,18.214285,42.034195,106.13859,127.442085,66.925766,26.1968,36.53579,96.17918,35.57446,0
0.0,63.135036,18.30956,208.76663,137.2139,88.78962,233.47006,234.8419,163.92857,37.010757,77.33983,108.755135,70.98304,37.25389,47.0444,147.01503,35.401436,0
85.0,81.36059,217.70622,217.4966,150.02037,132.03397,229.85136,255.0,200.35715,12.373097,71.802826,103.412384,38.95466,17.708376,20.711205,121.755066,23.908833,0
0.0,241.403,29.049612,193.96968,88.25412,91.63082,233.6411,246.93675,154.82143,32.409023,83.7323,109.07777,74.935905,30.187717,42.938602,127.59313,36.921658,0
0.0,239.75424,75.262215,208.73952,129.98323,71.55493,234.35286,252.98419,186.69643,27.615978,80.77895,100.26468,65.67759,26.58405,38.489326,134.81157,35.84629,0
153.0,42.440456,0.0,199.74274,144.02022,98.95494,233.90529,220.73123,173.03572,75.73828,93.09178,114.58723,73.907104,29.208359,21.619904,89.29771,36.734238,0
85.0,141.45032,108.64051,201.79617,154.22984,126.68161,228.70673,248.95258,182.14285,14.34843,99.501205,106.02936,59.757225,28.005726,24.395838,117.37146,39.739887,0
85.0,23.509838,42.60188,196.68208,107.34607,77.957695,236.83582,236.85771,204.91072,16.268406,72.73851,90.62948,48.59131,18.912434,41.093945,167.9636,29.384718,0
153.0,129.27267,228.40813,184.36165,96.76914,66.24315,228.2524,204.60475,91.07143,49.31328,89.2228,101.77232,65.93623,37.58617,48.559307,115.153595,31.898668,0
187.0,54.92868,0.0,220.88222,142.14723,134.43022,234.42647,0.0,236.78572,21.005852,132.9905,111.27832,66.69295,41.322456,15.513134,112.16433,31.171967,0
136.0,185.36237,33.48612,212.83102,147.63641,114.40731,231.82457,248.95258,154.82143,10.150309,81.541016,107.47719,67.536476,21.878933,17.202154,133.02632,36.10313,0
221.0,5.1,123.76188,208.85356,170.02266,97.307495,230.46733,192.50989,209.46428,44.681767,78.9416,108.87638,76.2066,30.656654,89.28037,114.895004,29.72255,0
136.0,51.317757,59.475708,202.96884,119.4541,97.78854,220.12949,242.90514,163.92857,38.051792,87.55276,111.89397,68.23413,33.065376,37.529102,109.89819,26.97782,0
204.0,135.51036,10.2,199.66025,155.49083,131.40108,227.69858,152.19368,255.0,55.25114,97.7158,120.58039,99.28181,49.268543,40.82208,132.41293,37.78261,0
85.0,107.130356,50.544636,209.93301,155.16917,120.78909,227.04759,230.81027,173.03572,46.969776,79.56846,95.017975,50.822353,34.02234,22.052673,111.97319,34.399734,0
136.0,9.194156,207.26062,195.04929,126.75605,102.112656,220.2068,228.79446,232.23215,37.40161,72.211845,106.64875,71.02046,34.454296,51.807716,109.12745,28.964537,0
